T, time, status
3.357,0.600,-5
1.293,0.104,-5
4.009,0.630,-5
3.364,0.095,0
3.469,0.634,-5
2.891,0.056,0
3.254,0.725,-5
4.132,0.818,-5
1.967,0.057,0
2.924,0.311,-5
3.361,0.887,-5
2.798,0.079,0
3.530,0.074,-5
4.480,1.409,-5
3.480,0.925,-5
3.307,0.094,-5
3.800,1.004,-5
3.358,0.060,0
3.327,0.990,-5
3.599,0.099,0
4.150,1.194,-5
3.500,1.237,-5
3.268,0.069,0
3.898,0.085,-5
3.041,1.113,-5
4.659,1.369,-5
3.127,1.537,-5
3.201,0.114,0
2.551,0.121,-5
3.832,0.059,0
2.922,0.183,-5
3.710,0.100,-5
3.406,0.882,-5
3.411,0.687,-5
3.315,1.046,-5
3.785,0.777,-5
2.548,0.080,0
3.316,0.125,0
3.610,0.670,-5
1.787,0.148,0
4.053,0.718,-5
4.042,0.827,-5
3.462,0.792,-5
2.895,0.079,0
3.721,0.074,-5
2.906,0.084,0
3.859,0.072,-5
3.986,0.100,0
3.236,0.997,-5
3.123,0.753,-5
2.671,0.299,-5
3.510,0.181,0
3.565,0.589,-5
2.677,0.060,0
3.014,0.054,0
3.946,0.768,-5
3.140,0.091,0
3.677,0.072,0
3.000,0.709,-5
3.814,0.764,-5
2.653,0.182,0
2.289,0.069,0
3.283,0.174,0
3.824,1.082,-5
3.499,0.918,-5
4.388,0.351,-5
3.283,0.625,-5
2.939,0.070,0
3.369,0.093,-5
3.881,0.086,0
3.190,0.205,0
1.976,0.267,0
3.978,0.143,-5
3.377,0.131,0
3.911,0.844,-5
3.262,0.092,-5
2.369,0.061,0
3.342,0.370,-5
3.793,0.745,-5
3.414,0.257,0
3.269,0.480,-5
3.735,0.119,-5
3.058,0.576,-5
3.378,0.112,-5
4.293,0.277,-5
4.009,0.696,-5
3.858,0.756,-5
3.092,0.067,0
3.643,0.057,0
2.043,0.059,0
3.869,0.824,-5
2.800,0.057,0
3.121,0.973,-5
3.912,0.442,0
3.379,0.141,0
3.816,0.983,-5
3.361,0.164,-5
3.618,0.074,-5
3.292,0.836,-5
3.295,0.080,0
4.227,0.789,-5
3.024,0.428,0
3.733,0.725,-5
3.441,1.030,-5
3.170,0.064,0
4.861,0.744,-5
2.802,0.724,-5
3.892,0.900,-5
2.873,0.952,-5
2.819,0.075,0
4.192,0.619,-5
3.883,0.745,-5
3.378,0.729,-5
