T, time, time_on_pso, time_on_solver, status
3.357,0.931,0.109,0.822,-5
1.293,0.112,0.075,0.037,0
4.009,0.861,0.075,0.786,-5
3.364,0.128,0.075,0.053,0
3.469,0.186,0.074,0.112,-5
2.891,0.103,0.075,0.028,0
3.254,0.872,0.075,0.797,-5
4.132,1.268,0.076,1.192,-5
1.967,0.274,0.082,0.192,-5
2.924,0.265,0.077,0.188,-5
3.361,1.062,0.079,0.983,-5
2.798,0.247,0.075,0.172,0
3.530,0.130,0.075,0.055,-5
4.717,0.237,0.075,0.162,0
3.480,0.347,0.075,0.272,0
3.308,0.123,0.076,0.047,-5
3.800,0.836,0.075,0.761,-5
3.358,0.102,0.075,0.027,0
3.327,0.316,0.075,0.241,0
3.598,0.122,0.075,0.047,0
4.150,0.959,0.075,0.884,-5
3.500,1.082,0.075,1.007,-5
3.268,1.026,0.075,0.951,-5
3.931,0.772,0.075,0.697,-5
3.041,0.180,0.075,0.105,0
4.546,1.023,0.075,0.948,-5
3.127,1.202,0.075,1.127,-5
3.201,0.232,0.075,0.157,0
2.551,0.380,0.079,0.301,-5
3.832,0.127,0.077,0.050,-5
2.922,0.293,0.075,0.218,0
3.710,0.180,0.075,0.105,-5
3.406,0.885,0.075,0.810,-5
3.411,1.116,0.076,1.040,-5
3.315,0.917,0.077,0.840,0
3.785,0.117,0.076,0.041,-5
2.548,0.321,0.078,0.243,0
3.315,0.176,0.082,0.094,0
3.669,2.184,0.077,2.107,-5
1.787,0.291,0.094,0.197,-5
4.052,2.792,0.078,2.714,-5
4.041,1.437,0.088,1.349,-5
3.462,1.190,0.077,1.113,-5
2.895,2.342,0.078,2.264,-5
3.722,0.502,0.108,0.394,-5
2.905,0.379,0.091,0.288,0
3.859,2.971,0.088,2.883,-5
3.992,1.727,0.099,1.628,-5
3.236,0.744,0.079,0.665,-5
3.123,0.665,0.078,0.587,-5
2.671,0.406,0.081,0.325,-5
3.509,1.813,0.089,1.724,-5
3.565,1.192,0.076,1.116,-5
2.677,0.182,0.082,0.100,0
3.014,0.142,0.077,0.065,0
4.014,0.207,0.077,0.130,-5
3.139,1.443,0.077,1.366,-5
