T, time, time_on_pso, time_on_solver, status
3.357,0.947,0.104,0.843,-5
1.293,0.134,0.066,0.068,0
4.009,0.748,0.067,0.681,-5
3.364,0.139,0.066,0.073,0
3.469,0.193,0.066,0.127,-5
2.891,0.101,0.066,0.035,0
3.254,0.976,0.066,0.910,-5
4.132,1.063,0.069,0.994,-5
1.967,0.144,0.066,0.078,-5
2.924,0.393,0.072,0.321,-5
3.361,1.037,0.068,0.969,-5
2.798,0.126,0.067,0.059,0
3.530,0.115,0.066,0.049,-5
4.717,1.596,0.066,1.530,-5
6.850,0.411,0.071,0.340,-5
3.308,0.132,0.070,0.062,-5
3.800,0.956,0.068,0.888,-5
3.358,0.104,0.066,0.038,-5
3.327,0.281,0.067,0.214,0
3.598,0.139,0.067,0.072,0
4.151,1.225,0.068,1.157,-5
3.500,1.011,0.066,0.945,-5
3.268,1.263,0.066,1.197,-5
3.966,0.596,0.068,0.528,-5
3.041,0.257,0.068,0.189,0
4.544,1.759,0.066,1.693,-5
3.127,1.818,0.066,1.752,-5
3.201,0.196,0.067,0.129,0
2.551,0.823,0.071,0.752,-5
3.832,0.122,0.066,0.056,0
2.922,0.836,0.066,0.770,-5
3.710,0.264,0.069,0.195,0
3.406,1.467,0.068,1.399,-5
3.411,0.918,0.072,0.846,-5
3.272,0.927,0.067,0.860,-5
3.773,0.993,0.066,0.927,-5
2.548,0.236,0.069,0.167,0
3.315,1.085,0.074,1.011,-5
3.630,1.139,0.068,1.071,-5
1.787,0.120,0.067,0.053,0
4.048,1.745,0.074,1.671,-5
4.111,1.742,0.068,1.674,-5
3.462,1.369,0.068,1.301,-5
2.895,0.149,0.071,0.078,0
3.721,0.780,0.069,0.711,-5
2.905,0.296,0.072,0.224,0
3.859,0.122,0.068,0.054,-5
3.975,0.940,0.067,0.873,-5
5.456,1.122,0.073,1.049,-5
3.123,0.524,0.068,0.456,-5
2.671,0.498,0.066,0.432,-5
5.737,0.863,0.067,0.796,-5
3.566,0.736,0.068,0.668,-5
2.677,0.111,0.069,0.042,0
3.014,0.119,0.067,0.052,0
4.014,1.152,0.066,1.086,-5
7.221,1.236,0.067,1.169,-5
7.161,0.146,0.070,0.076,-5
3.000,1.083,0.072,1.011,-5
5.474,0.884,0.065,0.819,-5
2.653,0.107,0.066,0.041,0
2.289,0.118,0.067,0.051,0
3.283,0.112,0.067,0.045,0
3.825,1.238,0.066,1.172,-5
3.499,0.758,0.067,0.691,-5
4.390,0.824,0.067,0.757,-5
7.353,0.413,0.067,0.346,-5
2.939,0.111,0.067,0.044,0
3.369,0.130,0.069,0.061,-5
3.881,0.119,0.067,0.052,0
3.188,0.449,0.068,0.381,-5
1.976,0.145,0.066,0.079,0
3.976,0.146,0.066,0.080,-5
3.377,0.277,0.067,0.210,0
3.890,1.023,0.066,0.957,-5
3.262,1.189,0.067,1.122,-5
2.369,0.287,0.066,0.221,0
