q0_i,q1_i,q2_i,q3_i,wx_i,wy_i,wz_i,q0_f,q1_f,q2_f,q3_f,wx_f,wy_f,wz_f,phi_i,theta_i,psi_i,phi_f,theta_f,psi_f
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.384591,0.547514,0.514408,-0.536379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.424904,100.572454,-55.229294
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.128769,0.336257,0.322189,-0.875525,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,139.856098,137.795484,0.681084
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308569,-0.629321,-0.296365,-0.648774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.772609,-88.139127,-122.570162
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.717265,-0.022768,0.696125,0.020559,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.720887,88.277651,-4.209291
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.258924,0.154650,0.404621,-0.863321,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-44.715160,28.460815,-158.520054
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.782486,0.048624,-0.595843,0.174133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-24.738603,-71.697520,43.099397
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.523935,-0.463013,-0.714466,-0.025485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.941034,-129.442118,-87.995412
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142565,0.043973,-0.320684,-0.935363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.768694,-0.525757,-162.847532
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.246830,0.677133,0.304142,-0.622948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.639184,96.394113,-110.426507
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.378491,-0.261641,-0.610565,-0.644592,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-101.281364,-126.918574,16.285763
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.635137,-0.484936,-0.527424,-0.288551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-94.893133,-71.774120,27.619046
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.213784,-0.619953,0.710002,0.256617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,172.714191,38.444388,-100.290365
