T, time, time_on_pso, time_on_solver, status
2.347,0.121,0.095,0.026,0
2.873,0.114,0.066,0.048,0
2.579,0.096,0.068,0.028,0
2.417,0.121,0.067,0.054,0
2.720,0.194,0.067,0.127,-5
2.146,0.095,0.065,0.030,0
2.404,0.284,0.065,0.219,-5
2.896,0.111,0.067,0.044,0
2.641,0.107,0.068,0.039,0
2.517,0.095,0.067,0.028,0
2.145,0.097,0.066,0.031,0
2.699,0.099,0.065,0.034,0
2.527,0.105,0.065,0.040,0
2.121,0.277,0.065,0.212,-5
2.326,0.102,0.065,0.037,0
2.837,0.099,0.065,0.034,0
2.174,0.099,0.065,0.034,0
2.088,0.096,0.069,0.027,0
2.738,0.127,0.066,0.061,-5
2.611,0.092,0.065,0.027,0
2.623,0.107,0.066,0.041,0
2.759,0.104,0.065,0.039,0
2.396,0.099,0.065,0.034,0
2.721,0.094,0.066,0.028,0
2.486,0.097,0.067,0.030,0
2.436,0.101,0.065,0.036,0
5.424,0.838,0.066,0.772,-5
2.615,0.144,0.066,0.078,0
2.443,0.094,0.066,0.028,0
2.761,0.104,0.065,0.039,0
2.338,0.094,0.066,0.028,0
2.971,0.294,0.066,0.228,-5
3.036,0.103,0.066,0.037,0
2.863,0.152,0.066,0.086,0
2.599,0.098,0.066,0.032,0
2.856,0.102,0.066,0.036,0
2.705,0.105,0.066,0.039,0
2.647,0.103,0.068,0.035,0
2.920,0.678,0.066,0.612,-5
2.736,0.100,0.067,0.033,0
2.922,0.104,0.066,0.038,0
2.215,0.091,0.066,0.025,0
2.797,0.236,0.072,0.164,0
2.651,0.101,0.066,0.035,0
2.537,0.093,0.067,0.026,0
5.011,0.651,0.066,0.585,-5
2.665,0.097,0.066,0.031,0
2.225,0.090,0.066,0.024,0
2.347,0.099,0.066,0.033,0
2.393,0.091,0.066,0.025,0
2.849,0.110,0.066,0.044,0
2.090,0.097,0.066,0.031,0
2.233,0.280,0.066,0.214,-5
2.383,0.099,0.067,0.032,0
1.711,0.101,0.068,0.033,0
2.587,0.097,0.066,0.031,0
2.571,0.101,0.066,0.035,0
2.850,0.107,0.066,0.041,0
2.321,0.088,0.066,0.022,0
2.659,0.106,0.066,0.040,0
2.406,0.165,0.088,0.077,0
2.046,0.114,0.069,0.045,0
2.552,0.137,0.072,0.065,-5
