T, time, status
2.320,0.104,0
0.781,0.091,0
2.682,0.093,0
2.779,0.047,0
2.659,0.056,0
1.864,0.043,0
2.306,0.105,0
2.935,0.072,0
1.687,0.055,0
2.601,0.202,0
2.586,0.078,0
2.401,0.126,0
2.729,0.061,0
2.963,0.066,0
2.329,0.059,0
2.718,0.089,0
2.538,0.054,0
2.500,0.052,0
2.816,0.054,0
2.429,0.077,0
2.779,0.055,0
2.635,0.106,0
2.339,0.046,0
2.790,0.057,0
2.743,0.099,-5
2.999,0.060,0
2.571,0.088,-5
2.763,0.093,0
2.350,0.061,0
2.696,0.049,0
2.587,0.099,-5
2.551,0.057,0
2.312,0.054,0
2.404,0.136,0
2.274,0.062,0
2.591,0.066,0
2.141,0.055,0
2.376,0.086,0
2.553,0.123,-5
1.292,0.098,0
2.654,0.049,0
2.769,0.057,0
2.362,0.042,0
2.601,0.078,0
2.908,0.072,0
2.708,0.072,0
2.563,0.059,0
2.625,0.093,0
2.852,0.083,0
2.752,0.093,-5
1.836,0.049,0
2.720,0.116,-5
2.381,0.226,0
1.699,0.048,0
2.118,0.045,0
2.740,0.058,0
2.371,0.117,-5
2.455,0.052,0
2.000,0.081,0
2.762,0.145,-5
2.095,0.164,0
1.527,0.057,0
2.400,0.091,-5
2.554,0.165,-5
2.749,0.101,0
2.976,0.113,0
2.919,0.053,0
2.763,0.055,0
2.388,0.091,0
2.642,0.163,-5
2.407,0.098,-5
1.421,0.047,0
2.907,0.123,-5
3.047,0.127,-5
2.830,0.144,0
2.761,0.098,-5
2.225,0.053,0
2.595,0.052,0
2.712,0.072,0
2.374,0.047,0
2.664,0.239,0
2.951,0.096,-5
2.497,0.064,0
2.252,0.062,0
2.826,0.126,0
2.470,0.058,0
2.601,0.150,0
2.049,0.056,0
2.439,0.055,0
1.970,0.054,0
2.950,0.407,-5
1.835,0.046,0
2.442,0.180,-5
2.621,0.073,0
2.239,0.072,0
2.577,0.037,0
2.215,0.090,0
2.609,0.088,-5
2.278,0.130,-5
2.242,0.080,0
2.785,0.057,0
2.592,0.116,-5
2.661,0.089,0
2.506,0.319,-5
2.799,0.205,-5
2.984,0.294,-5
2.066,0.181,-5
2.833,0.597,-5
2.055,0.121,0
1.791,0.051,0
2.773,0.051,0
2.588,0.056,0
2.257,0.070,0
2.536,0.046,0
2.630,0.077,0
2.611,0.042,0
1.321,0.053,0
2.159,0.056,0
1.635,0.058,0
2.785,0.066,0
1.586,0.088,0
2.299,0.053,0
2.898,0.061,0
2.607,0.145,0
2.405,0.131,0
2.346,0.351,-5
2.968,0.078,0
2.697,0.076,0
2.643,0.125,0
2.521,0.067,0
2.726,0.064,0
1.549,0.054,0
2.784,0.115,-5
2.359,0.045,0
2.538,0.095,-5
2.378,0.096,-5
2.808,0.054,0
2.357,0.110,-5
2.919,0.471,-5
2.313,0.119,-5
1.497,0.065,0
2.291,0.067,0
2.569,0.055,0
2.348,0.133,0
1.302,0.063,0
2.644,0.091,0
2.997,0.070,0
2.852,0.134,-5
2.045,0.053,0
2.479,0.061,0
2.957,0.070,0
2.334,0.089,0
2.456,0.183,-5
2.131,0.067,0
2.858,0.111,-5
2.816,0.082,0
1.434,0.058,0
2.361,0.157,-5
2.414,0.110,0
2.773,0.114,0
2.780,0.098,0
3.070,0.092,0
2.137,0.080,0
2.501,0.077,0
2.701,0.102,-5
1.945,0.054,0
2.508,0.145,-5
2.822,0.089,0
2.783,0.094,-5
2.311,0.239,-5
1.261,0.074,0
2.835,0.057,0
2.875,0.071,0
1.792,0.069,0
3.026,0.061,0
2.812,0.103,0
2.672,0.114,0
2.177,0.057,0
2.757,0.092,0
2.590,0.297,-5
2.167,0.050,0
2.482,0.060,0
2.644,0.078,0
2.860,0.100,-5
2.330,0.097,0
