T, time, time_on_pso, time_on_solver, status
2.320,0.147,0.117,0.030,0
0.781,0.110,0.075,0.035,0
2.682,0.110,0.075,0.035,0
2.779,0.115,0.076,0.039,0
2.659,0.108,0.076,0.032,0
1.864,0.095,0.075,0.020,0
2.306,0.096,0.075,0.021,0
2.935,0.110,0.077,0.033,0
1.687,0.102,0.076,0.026,0
2.601,0.169,0.075,0.094,-5
2.586,0.101,0.076,0.025,0
2.401,0.290,0.075,0.215,-5
2.729,0.102,0.075,0.027,0
2.963,0.286,0.075,0.211,0
2.329,0.109,0.075,0.034,0
2.718,0.144,0.075,0.069,-5
2.538,0.102,0.075,0.027,0
2.500,0.096,0.074,0.022,0
2.816,0.102,0.075,0.027,0
2.429,0.094,0.075,0.019,0
2.779,0.106,0.075,0.031,0
2.635,0.101,0.075,0.026,0
2.339,0.104,0.075,0.029,0
2.790,0.099,0.075,0.024,0
2.743,0.172,0.075,0.097,-5
2.999,0.109,0.075,0.034,0
2.571,0.141,0.075,0.066,-5
2.763,0.108,0.075,0.033,0
2.350,0.110,0.075,0.035,0
2.696,0.102,0.075,0.027,0
2.587,0.170,0.075,0.095,-5
2.551,0.099,0.075,0.024,0
2.312,0.111,0.075,0.036,0
2.404,0.113,0.075,0.038,0
2.274,0.101,0.074,0.027,0
2.591,0.283,0.075,0.208,0
2.141,0.096,0.076,0.020,0
2.376,0.092,0.075,0.017,0
2.553,0.215,0.075,0.140,0
1.292,0.097,0.075,0.022,0
2.654,0.102,0.075,0.027,0
2.769,0.097,0.075,0.022,0
2.362,0.098,0.075,0.023,0
2.601,0.104,0.075,0.029,0
2.908,0.099,0.075,0.024,0
2.708,0.102,0.075,0.027,0
2.563,0.100,0.075,0.025,0
2.625,0.103,0.075,0.028,0
2.852,0.646,0.074,0.572,-5
2.752,0.124,0.075,0.049,-5
1.836,0.107,0.075,0.032,0
2.720,0.240,0.075,0.165,-5
2.381,0.206,0.075,0.131,0
1.699,0.097,0.075,0.022,0
2.118,0.098,0.075,0.023,0
2.740,0.100,0.075,0.025,0
2.371,0.135,0.076,0.059,-5
2.455,0.093,0.075,0.018,0
2.000,0.101,0.075,0.026,0
2.762,0.139,0.075,0.064,-5
2.095,0.189,0.075,0.114,0
1.527,0.103,0.075,0.028,0
2.400,0.104,0.075,0.029,0
2.554,0.168,0.075,0.093,-5
2.749,0.102,0.075,0.027,0
2.976,0.109,0.075,0.034,0
2.919,0.105,0.075,0.030,0
2.763,0.101,0.075,0.026,0
2.388,0.125,0.075,0.050,0
2.642,0.224,0.075,0.149,-5
2.407,0.194,0.075,0.119,-5
1.421,0.097,0.075,0.022,0
2.907,0.193,0.077,0.116,-5
3.047,0.172,0.075,0.097,-5
2.830,0.103,0.075,0.028,0
2.761,0.153,0.075,0.078,-5
2.225,0.107,0.075,0.032,0
2.595,0.110,0.075,0.035,0
2.712,0.101,0.075,0.026,0
2.374,0.102,0.075,0.027,0
2.664,0.151,0.077,0.074,-5
2.951,0.103,0.075,0.028,0
2.497,0.098,0.075,0.023,0
2.252,0.103,0.075,0.028,0
2.826,0.097,0.075,0.022,0
2.470,0.110,0.075,0.035,0
2.601,0.100,0.076,0.024,0
2.049,0.098,0.075,0.023,0
2.439,0.101,0.075,0.026,0
1.970,0.102,0.075,0.027,0
2.950,0.547,0.076,0.471,-5
1.835,0.091,0.074,0.017,0
2.442,0.334,0.075,0.259,-5
2.621,0.104,0.075,0.029,0
2.239,0.097,0.075,0.022,0
2.577,0.097,0.075,0.022,0
2.215,0.105,0.075,0.030,0
2.609,0.150,0.075,0.075,-5
2.278,0.101,0.075,0.026,0
2.242,0.105,0.075,0.030,0
2.785,0.096,0.075,0.021,0
2.592,0.175,0.075,0.100,0
2.661,0.105,0.075,0.030,0
2.506,0.266,0.075,0.191,-5
2.799,0.150,0.075,0.075,-5
2.984,0.321,0.075,0.246,-5
2.066,0.176,0.074,0.102,-5
2.833,0.649,0.075,0.574,-5
2.055,0.225,0.075,0.150,-5
1.791,0.100,0.075,0.025,0
2.773,0.099,0.075,0.024,0
2.588,0.103,0.075,0.028,0
2.257,0.107,0.075,0.032,0
2.536,0.103,0.075,0.028,0
2.630,0.136,0.075,0.061,0
2.611,0.099,0.075,0.024,0
1.321,0.111,0.075,0.036,0
2.159,0.096,0.075,0.021,0
1.635,0.101,0.075,0.026,0
2.785,0.106,0.075,0.031,0
1.586,0.111,0.075,0.036,0
2.299,0.105,0.080,0.025,0
2.898,0.105,0.075,0.030,0
2.607,0.100,0.075,0.025,0
2.405,0.103,0.074,0.029,0
2.346,0.248,0.075,0.173,-5
2.968,0.095,0.075,0.020,0
2.697,0.093,0.075,0.018,0
2.643,0.103,0.075,0.028,0
2.521,0.112,0.075,0.037,0
2.726,0.104,0.075,0.029,0
1.549,0.103,0.075,0.028,0
2.784,0.165,0.075,0.090,-5
2.359,0.101,0.075,0.026,0
2.538,0.109,0.075,0.034,0
2.378,0.104,0.076,0.028,0
2.808,0.102,0.075,0.027,0
2.357,0.107,0.075,0.032,0
2.919,0.471,0.075,0.396,-5
2.313,0.104,0.074,0.030,0
1.497,0.099,0.075,0.024,0
2.291,0.100,0.075,0.025,0
2.569,0.099,0.075,0.024,0
2.348,0.106,0.075,0.031,0
1.302,0.105,0.075,0.030,0
2.644,0.091,0.075,0.016,0
2.997,0.111,0.075,0.036,0
2.852,0.560,0.075,0.485,-5
2.045,0.101,0.075,0.026,0
2.479,0.105,0.075,0.030,0
2.957,0.099,0.075,0.024,0
2.334,0.109,0.079,0.030,0
2.456,0.182,0.075,0.107,-5
2.131,0.101,0.074,0.027,0
2.858,0.103,0.075,0.028,0
2.816,0.196,0.075,0.121,-5
1.434,0.096,0.075,0.021,0
2.361,0.178,0.075,0.103,-5
2.414,0.187,0.075,0.112,-5
2.773,0.097,0.075,0.022,0
2.780,0.098,0.075,0.023,0
3.070,0.101,0.075,0.026,0
2.137,0.102,0.074,0.028,0
2.501,0.107,0.075,0.032,0
2.701,0.104,0.075,0.029,0
1.945,0.100,0.075,0.025,0
2.508,0.145,0.075,0.070,-5
2.822,0.098,0.075,0.023,0
2.783,0.194,0.075,0.119,-5
2.311,0.180,0.075,0.105,-5
1.261,0.112,0.075,0.037,0
2.835,0.101,0.075,0.026,0
2.875,0.148,0.075,0.073,0
1.792,0.102,0.075,0.027,0
2.966,0.105,0.075,0.030,0
2.812,0.102,0.075,0.027,0
2.672,0.098,0.075,0.023,0
2.177,0.102,0.075,0.027,0
2.757,0.169,0.075,0.094,-5
2.590,0.132,0.075,0.057,-5
2.167,0.105,0.074,0.031,0
2.482,0.106,0.075,0.031,0
2.644,0.110,0.075,0.035,0
2.860,0.124,0.075,0.049,-5
2.330,0.096,0.075,0.021,0
2.906,0.195,0.075,0.120,-5
2.542,0.262,0.076,0.186,-5
2.934,0.138,0.075,0.063,-5
2.928,0.105,0.075,0.030,0
2.732,0.104,0.075,0.029,0
2.296,0.105,0.075,0.030,0
2.554,0.107,0.075,0.032,0
