T, time, status
3.356,8.012,1
1.298,1.700,-4
4.009,2.456,1
3.364,1.880,0
3.468,2.325,1
2.891,0.827,0
3.254,6.358,0
4.160,12.372,-2
1.976,2.100,-4
2.924,1.614,1
3.361,1.369,1
2.814,2.985,-4
3.529,1.350,1
4.465,22.713,-3
3.479,1.516,1
3.306,2.113,1
3.823,4.714,-4
3.378,9.585,-4
3.345,8.409,-4
3.598,2.849,0
4.149,7.332,0
3.499,4.796,1
3.283,3.560,-4
3.895,1.633,0
3.041,1.535,1
4.544,6.986,0
3.144,4.175,-4
3.201,3.558,0
2.563,2.903,-4
3.831,4.822,0
2.937,2.787,-4
3.735,10.996,-4
3.423,8.720,-4
3.410,1.842,1
3.271,23.048,-3
3.784,1.834,0
2.547,2.386,0
3.315,1.457,1
3.629,1.633,1
1.787,1.239,1
4.075,15.330,-2
4.041,1.520,0
3.483,4.312,-4
2.895,1.494,1
3.719,1.607,1
2.905,4.662,1
3.828,1.756,0
3.974,1.523,1
3.236,1.466,1
3.140,6.487,-4
2.683,3.055,-4
3.499,2.079,0
3.564,1.934,1
2.676,1.093,1
3.014,1.592,0
4.012,1.690,0
3.139,1.791,1
3.676,1.292,0
3.011,2.293,-4
3.813,2.611,1
2.652,1.860,1
2.288,1.776,1
3.309,15.655,-4
3.823,3.278,1
3.496,1.909,1
4.416,17.915,-4
3.283,2.284,0
2.939,1.123,0
3.368,1.551,0
3.907,10.714,-2
3.205,3.598,-4
1.975,3.053,0
3.997,20.724,-2
3.377,1.410,1
3.875,2.881,1
3.280,6.772,-4
2.369,3.180,0
3.360,5.279,-4
3.752,2.122,1
3.413,1.482,1
3.236,2.120,1
3.730,2.004,1
3.053,2.956,1
3.378,1.060,1
4.290,15.054,0
3.695,1.171,1
3.858,20.679,-3
3.091,1.048,1
3.642,1.320,0
2.042,1.915,0
3.831,7.234,0
2.799,1.844,0
3.120,2.435,1
3.912,1.818,1
3.378,4.063,0
3.816,1.504,0
3.359,8.813,0
3.617,1.217,1
3.311,4.975,-4
3.294,1.123,0
4.227,3.472,0
3.048,4.122,-4
3.759,6.863,-4
3.458,4.321,-4
3.169,1.248,1
4.529,15.092,-2
2.802,1.181,1
3.911,5.996,-2
2.872,4.288,1
2.818,1.686,1
4.188,21.417,-3
3.907,10.357,-2
3.377,2.468,1
3.656,6.164,-4
2.958,1.239,1
2.846,2.304,1
1.851,5.884,0
3.296,2.287,0
2.550,1.312,1
4.053,7.062,-2
2.277,2.463,-4
2.684,0.855,0
3.598,4.768,1
3.910,2.355,1
3.590,1.612,1
3.314,1.038,1
4.135,3.834,0
3.719,6.857,-2
3.994,2.893,1
3.835,1.673,1
3.417,1.766,1
1.837,1.952,-4
3.666,6.299,1
3.515,1.409,0
3.713,9.043,-2
3.565,7.445,-4
4.144,10.585,-4
3.438,1.606,1
3.370,1.427,0
3.455,1.546,1
1.642,0.649,0
3.707,12.670,-2
3.689,1.283,1
3.342,3.970,1
1.852,4.398,-4
3.692,2.315,0
4.043,7.195,0
3.252,1.573,0
3.081,1.054,0
3.355,8.584,-4
3.191,1.231,1
3.296,7.002,-4
2.800,1.853,1
2.593,2.021,1
3.743,2.308,1
3.771,7.711,-4
2.316,1.622,1
3.597,3.672,-4
3.244,1.907,1
4.032,3.934,0
3.886,2.522,0
4.484,12.349,1
3.216,1.352,1
3.718,2.665,1
4.077,1.674,1
2.941,1.467,1
3.391,3.816,-2
3.360,3.481,0
3.229,1.491,1
3.569,6.116,-2
1.468,2.094,-4
4.211,1.919,0
4.280,5.362,1
2.395,2.221,1
4.246,2.503,0
3.173,11.259,1
3.774,26.053,-3
3.210,8.942,-4
3.210,3.049,-4
3.243,2.836,1
3.282,2.344,1
3.490,6.593,-4
3.874,3.143,1
4.180,18.230,-2
3.564,15.505,-4
3.349,1.491,1
3.362,2.876,1
4.039,9.152,-2
3.715,4.787,1
3.478,3.165,0
3.419,2.845,-4
3.925,8.530,-4
3.254,3.824,-4
4.077,4.250,1
3.258,2.195,1
3.582,3.159,1
3.692,1.181,0
3.934,13.331,-2
3.683,3.644,1
2.168,3.196,1
2.867,2.384,1
3.364,1.599,1
3.825,8.145,-2
3.246,1.493,1
3.095,3.278,1
3.596,2.464,1
3.733,2.146,1
3.750,1.363,0
4.159,11.166,-4
3.484,8.751,-2
2.683,1.279,0
3.641,6.350,-4
3.518,3.326,-4
3.388,3.429,-4
3.120,2.632,-4
3.919,1.245,0
1.800,2.683,1
4.220,2.368,0
2.825,3.252,1
3.244,2.592,0
3.469,11.912,-4
4.011,1.195,0
2.584,10.361,1
3.325,2.782,-4
3.404,5.562,-4
3.692,4.807,-2
3.017,3.136,-4
4.093,10.305,-2
3.643,1.894,0
3.500,18.588,-4
3.570,4.416,1
3.363,1.301,0
2.563,1.310,1
3.406,1.267,0
3.354,15.650,0
3.792,1.474,1
3.019,1.538,1
3.004,1.211,1
3.789,6.597,-4
4.048,1.972,0
3.342,5.068,1
3.210,1.963,1
3.301,4.672,-4
4.190,11.751,-2
3.316,4.838,-4
4.145,3.574,1
3.271,8.351,-2
4.093,2.215,1
3.672,1.419,1
3.539,1.369,1
3.477,1.436,1
3.028,1.554,1
3.317,1.224,1
3.890,6.233,-2
2.971,25.107,-3
3.438,1.499,1
3.142,19.828,-3
4.475,11.798,-2
1.527,3.263,-4
3.282,1.226,1
3.217,1.171,0
2.425,1.084,0
3.254,6.671,-4
2.744,4.247,-4
3.459,1.211,0
3.548,1.506,0
3.978,3.505,0
3.539,3.717,1
4.443,14.897,-4
2.638,1.381,1
3.638,4.380,-2
3.252,5.089,0
3.896,1.022,0
3.117,1.147,0
3.548,1.803,1
3.500,2.614,1
3.330,2.063,0
3.904,1.094,1
3.878,9.701,-2
3.424,2.561,1
3.384,2.065,1
3.194,1.817,0
4.222,17.031,-2
3.395,1.044,1
3.378,1.240,0
4.026,7.729,-4
3.878,10.293,-2
3.314,1.013,1
3.646,2.643,1
3.342,2.977,-4
3.674,7.159,-4
2.464,2.257,-4
3.702,10.488,-2
3.599,19.267,-2
3.265,1.519,1
3.610,3.588,0
3.160,3.197,1
3.656,7.390,-4
1.946,2.019,1
3.425,1.307,1
3.697,2.494,1
3.780,2.492,1
3.231,1.305,1
4.250,13.715,-2
3.615,1.615,1
3.039,1.031,0
2.044,3.345,-4
2.995,4.032,-4
2.668,7.928,-4
2.454,2.317,1
3.194,1.356,0
3.338,1.285,1
4.410,25.074,-4
3.403,1.263,0
3.476,5.349,-4
2.888,1.033,1
2.942,21.536,-3
2.996,1.700,1
2.767,1.255,1
4.055,5.495,-4
2.668,1.398,0
4.119,16.204,-2
3.343,1.482,1
3.035,3.208,-4
3.271,1.137,1
