q0_i,q1_i,q2_i,q3_i,wx_i,wy_i,wz_i,q0_f,q1_f,q2_f,q3_f,wx_f,wy_f,wz_f,phi_i,theta_i,psi_i,phi_f,theta_f,psi_f
1.000000,0.000000,0.000000,0.000000,-0.029923,0.028964,-0.031737,0.694970,0.202000,-0.663558,0.189483,-0.026249,0.040500,0.020306,0.000000,0.000000,0.000000,-142.197799,-92.740141,174.348295
1.000000,0.000000,0.000000,0.000000,-0.016987,-0.000492,0.047407,0.994801,-0.038570,-0.041703,0.084528,-0.041741,-0.000458,-0.010187,0.000000,0.000000,0.000000,-4.820580,-4.384649,9.898132
1.000000,0.000000,0.000000,0.000000,-0.011447,-0.026811,-0.028341,0.373854,0.011339,-0.868750,0.324619,0.041398,-0.006319,-0.023286,0.000000,0.000000,0.000000,-132.536195,-41.066375,162.794503
1.000000,0.000000,0.000000,0.000000,-0.004838,0.043563,-0.028643,0.099337,-0.764805,0.464396,0.435364,-0.005198,-0.013999,-0.023258,0.000000,0.000000,0.000000,-22.775971,130.694201,106.904072
1.000000,0.000000,0.000000,0.000000,0.000961,0.038631,0.035331,0.235073,-0.677297,0.230421,0.657963,-0.011594,-0.023280,0.006282,0.000000,0.000000,0.000000,-147.253435,88.388647,-5.692253
1.000000,0.000000,0.000000,0.000000,-0.013698,0.010668,-0.011850,0.832603,0.076542,0.301890,-0.458013,-0.020171,-0.043819,0.020362,0.000000,0.000000,0.000000,-10.479121,34.947363,-60.937196
1.000000,0.000000,0.000000,0.000000,-0.032910,-0.032648,0.024343,0.673406,0.160370,-0.709624,0.131299,0.020116,-0.039614,0.023941,0.000000,0.000000,0.000000,153.155241,-86.236153,-129.337871
1.000000,0.000000,0.000000,0.000000,-0.037359,0.027780,0.023962,0.252622,0.050127,0.955556,-0.143463,-0.039600,-0.017257,-0.029591,0.000000,0.000000,0.000000,-163.333116,29.813005,178.460286
1.000000,0.000000,0.000000,0.000000,-0.034349,0.033274,0.011786,0.878446,-0.400559,0.259797,-0.019750,-0.017167,-0.042825,-0.017774,0.000000,0.000000,0.000000,127.309771,153.856985,164.306058
1.000000,0.000000,0.000000,0.000000,-0.010684,-0.046495,-0.021577,0.393522,-0.785991,0.457823,-0.133251,0.033198,-0.006016,-0.006300,0.000000,0.000000,0.000000,-131.479311,8.676663,-56.523395
1.000000,0.000000,0.000000,0.000000,-0.035737,0.005336,-0.037894,0.296751,0.718663,-0.399998,0.485246,0.011906,-0.046390,0.021162,0.000000,0.000000,0.000000,173.801552,-69.204981,-53.920739
1.000000,0.000000,0.000000,0.000000,0.008442,0.028589,-0.043046,0.520486,-0.716290,-0.436388,0.159967,-0.017206,-0.005803,-0.044957,0.000000,0.000000,0.000000,-114.691416,-13.008886,54.344270
1.000000,0.000000,0.000000,0.000000,-0.013409,-0.022532,-0.000489,0.204882,-0.675315,0.203389,0.678680,0.029699,-0.026595,0.033945,0.000000,0.000000,0.000000,172.857870,90.298231,-40.701453
1.000000,0.000000,0.000000,0.000000,-0.031452,-0.002351,-0.041795,0.102994,0.060367,0.357304,0.926327,-0.004597,-0.037050,-0.036711,0.000000,0.000000,0.000000,-137.554415,-177.808585,-13.539893
1.000000,0.000000,0.000000,0.000000,0.043816,-0.005677,-0.028098,0.660196,0.023541,0.682167,-0.313426,0.004301,-0.043452,-0.000918,0.000000,0.000000,0.000000,99.757189,113.725454,71.574193
1.000000,0.000000,0.000000,0.000000,-0.037802,0.014501,-0.033201,0.222304,-0.707922,-0.021246,-0.670057,0.015877,0.028801,-0.030401,0.000000,0.000000,0.000000,-90.642326,-73.363794,-69.311343
1.000000,0.000000,0.000000,0.000000,-0.022034,-0.013001,0.024469,0.337142,-0.517160,0.326850,0.715576,0.002144,0.019912,-0.011641,0.000000,0.000000,0.000000,25.339014,73.847613,148.722279
1.000000,0.000000,0.000000,0.000000,-0.014890,-0.011741,-0.000628,0.360661,-0.691093,0.328028,0.533584,0.004933,0.037264,0.036450,0.000000,0.000000,0.000000,41.055947,103.062020,162.354004
