T, time, status
2.347,1.174,0
2.873,1.115,0
2.579,1.639,1
2.385,1.838,0
2.720,1.998,1
2.146,2.433,0
2.404,2.823,1
2.895,1.598,1
2.641,1.361,1
2.517,1.054,0
2.145,1.131,1
2.699,0.957,1
2.527,1.374,1
2.131,6.134,-4
2.326,1.200,1
2.837,1.332,1
2.174,1.518,1
2.087,1.446,1
2.738,1.789,1
2.611,1.470,0
2.636,3.910,-2
2.759,1.378,1
2.396,1.578,1
2.721,1.109,1
2.486,1.618,1
2.436,1.216,1
2.706,1.250,0
2.628,5.892,-4
2.443,1.397,1
2.761,1.565,1
2.338,1.490,1
2.989,8.102,-2
3.035,1.159,1
2.863,1.562,1
2.598,1.361,1
2.856,1.451,1
2.705,1.382,1
2.647,1.611,1
2.920,20.152,-3
2.736,1.324,1
2.922,1.209,1
2.226,4.394,-4
2.797,1.395,0
2.657,1.304,0
2.537,1.192,1
2.966,11.611,-2
2.665,1.119,1
2.224,1.263,0
2.347,1.603,0
2.393,1.423,1
2.848,1.352,1
2.089,1.516,1
2.233,1.672,1
2.382,1.443,1
1.711,1.541,1
2.586,1.074,1
2.583,4.941,-4
2.850,1.311,1
2.321,1.680,0
2.673,6.058,-2
2.406,1.217,1
2.046,1.187,1
2.564,9.462,-2
2.796,1.031,1
1.693,5.692,-2
1.478,3.805,-4
2.384,1.453,1
2.547,1.164,1
2.641,1.094,1
2.439,6.046,-4
2.055,2.818,1
2.420,1.052,1
2.140,1.613,1
2.917,1.521,0
2.581,1.122,1
2.570,1.095,1
2.255,3.499,0
2.888,2.530,1
2.642,1.394,1
2.596,1.799,1
1.862,7.271,-2
2.367,3.376,-2
2.372,1.571,0
2.974,4.426,-2
2.140,3.024,1
2.193,1.697,1
2.563,1.213,0
2.880,3.406,0
2.376,1.669,1
2.340,4.672,-2
2.751,8.025,-4
2.756,1.139,1
2.367,0.955,0
2.183,1.097,0
2.374,0.959,0
2.547,1.204,1
2.745,9.021,-2
2.701,1.533,1
2.762,1.075,1
2.414,1.220,1
2.744,8.892,-4
2.300,1.514,1
2.670,4.286,-2
2.754,7.863,-2
2.784,1.218,1
2.364,1.700,1
1.741,1.256,1
2.973,11.181,-2
2.650,1.308,0
1.748,2.809,0
2.703,7.681,-2
2.441,1.112,1
2.580,6.000,-2
2.164,5.345,-4
2.791,1.213,1
2.296,1.579,1
1.741,1.736,1
2.445,1.115,0
2.238,1.109,0
3.048,1.151,0
2.892,13.279,-2
1.701,1.484,1
2.408,1.403,0
2.559,1.063,1
1.866,1.357,1
2.758,1.041,0
2.328,1.631,0
1.908,1.593,1
2.900,1.824,1
2.433,1.340,1
2.454,1.058,0
2.169,0.898,0
2.920,1.571,1
2.429,1.405,1
2.489,7.575,-2
2.334,22.585,-3
2.146,1.419,1
2.187,3.178,-2
1.875,2.080,0
2.456,10.712,1
2.574,1.628,0
2.078,1.208,1
2.196,1.922,1
2.734,4.820,-4
2.534,1.395,1
2.036,1.552,1
1.636,1.046,0
1.287,1.748,1
2.582,4.460,-2
2.781,5.214,-2
2.735,0.939,0
2.451,1.773,0
2.878,1.833,1
2.352,2.564,-4
2.406,1.254,1
2.661,1.022,1
2.623,1.337,1
1.856,1.089,0
1.362,2.653,1
2.508,1.499,1
2.906,1.273,1
2.738,0.730,0
2.311,1.620,1
2.142,0.914,0
2.720,1.060,1
1.298,1.399,1
2.502,9.271,-2
2.067,1.798,1
2.600,1.217,1
2.152,2.931,-4
2.459,1.680,1
2.495,1.245,1
2.872,1.230,1
2.130,1.215,1
