T, time, status
2.347,0.933,0
2.873,1.401,0
2.579,3.819,1
2.417,1.226,0
2.720,1.064,1
2.147,1.309,0
2.404,0.903,0
2.895,1.016,1
2.641,0.767,1
2.517,0.582,0
2.145,0.625,1
2.699,0.647,1
2.527,1.185,1
2.121,0.841,1
2.326,0.769,1
2.837,0.793,1
2.174,1.043,1
2.087,1.065,1
2.738,17.500,-3
2.611,0.877,0
2.622,1.063,1
2.759,1.003,1
2.396,0.740,1
2.721,0.694,1
2.486,0.840,1
2.436,0.639,1
2.751,0.693,0
2.615,0.760,1
2.443,0.703,1
2.761,0.810,1
2.338,0.734,1
2.985,7.603,-4
3.035,0.817,1
2.879,3.910,-2
2.613,2.589,-2
2.856,1.035,1
2.705,0.895,1
2.663,3.163,-2
2.920,7.013,0
2.736,0.794,1
2.922,0.804,1
2.215,0.788,1
2.797,5.064,0
2.650,0.739,0
2.537,0.524,0
2.959,4.929,-2
2.665,0.695,1
2.224,0.716,0
2.347,0.759,0
2.393,0.976,1
2.848,0.864,1
2.089,1.487,1
2.233,0.876,1
2.383,1.075,1
1.711,0.812,1
2.586,0.790,1
2.571,0.927,1
2.850,8.638,1
2.321,0.661,1
2.675,2.591,-2
2.406,0.912,1
2.046,0.963,1
2.565,9.760,-2
2.796,0.621,1
1.692,3.866,-4
1.479,1.846,-4
2.384,0.920,1
2.547,0.843,1
2.641,1.129,1
2.450,5.707,-2
2.055,0.939,1
2.420,1.101,1
2.140,0.745,1
2.917,0.728,0
2.598,3.511,-2
2.570,0.808,1
2.255,5.754,0
2.906,6.849,-2
2.642,0.842,1
2.596,0.718,1
1.859,2.662,-4
2.363,3.908,-4
2.372,0.474,0
2.970,5.275,-2
2.140,1.384,1
2.193,0.900,1
2.563,0.988,0
2.880,2.112,0
2.376,0.910,1
2.343,4.404,-2
2.752,6.826,-2
2.756,0.941,1
2.367,0.793,0
2.183,0.726,0
2.374,0.796,0
2.547,0.768,1
2.746,6.433,-2
2.701,0.731,1
2.782,1.043,1
2.414,0.869,1
2.746,3.143,-2
2.300,1.064,1
2.677,2.844,-4
2.749,7.408,-2
2.784,0.771,1
2.364,0.795,1
1.741,0.814,1
2.970,8.179,-2
2.650,1.841,1
1.748,1.068,0
2.706,4.116,-4
2.441,0.894,1
2.566,3.266,1
2.167,1.929,-4
2.791,0.905,1
2.296,0.861,1
1.741,0.813,1
2.445,0.929,0
2.238,3.219,0
3.048,0.777,0
2.892,5.221,-2
1.701,1.009,1
2.408,0.876,0
2.559,1.001,1
1.866,1.085,1
2.758,0.495,0
2.328,0.802,0
1.909,1.128,1
2.900,0.962,1
2.433,0.803,1
2.454,1.383,0
2.169,0.658,0
2.920,1.043,1
2.429,0.743,1
2.492,4.908,-4
2.334,11.801,-3
2.146,1.149,1
2.189,4.692,-2
1.875,2.427,0
2.456,3.004,0
2.574,1.504,0
2.091,2.145,-4
2.196,0.750,0
2.738,3.104,-2
2.534,0.881,1
2.036,0.691,1
1.636,0.645,0
1.287,0.936,1
2.567,0.741,1
2.766,1.519,1
2.735,0.750,0
2.451,0.924,0
2.878,0.854,0
2.340,0.647,1
2.406,0.689,1
2.661,0.617,1
2.623,0.767,1
1.856,0.724,0
1.362,0.918,1
2.522,2.232,-2
2.926,5.643,-4
2.738,0.561,0
2.311,1.353,1
2.142,0.582,0
2.720,0.649,1
1.298,1.108,1
