T, time, status
2.347,0.052,0
2.873,0.076,0
2.579,0.114,-5
2.385,0.033,0
2.720,0.142,0
2.146,0.105,0
2.404,0.175,0
2.896,0.182,-5
2.641,0.053,0
2.517,0.075,0
2.145,0.080,0
2.699,0.046,0
2.527,0.048,0
2.121,0.050,0
2.326,0.050,0
2.837,0.074,0
2.174,0.047,0
2.088,0.053,0
2.738,0.076,-5
2.611,0.059,0
2.623,0.060,0
2.759,0.111,-5
2.396,0.057,0
2.721,0.087,0
2.486,0.064,0
2.436,0.064,0
2.707,0.075,0
2.615,0.108,0
2.443,0.034,0
2.761,0.062,0
2.338,0.045,0
2.971,0.098,-5
3.036,0.073,0
2.863,0.250,-5
2.599,0.053,0
2.856,0.061,0
2.705,0.081,0
2.647,0.138,-5
2.920,0.639,-5
2.736,0.092,0
2.922,0.067,0
2.215,0.063,0
2.797,0.121,0
2.651,0.068,0
2.537,0.054,0
2.947,0.077,0
2.665,0.053,0
2.225,0.074,0
2.347,0.047,0
2.393,0.086,0
2.849,0.103,0
2.090,0.125,0
2.233,0.377,-5
2.383,0.159,0
1.711,0.125,0
2.587,0.089,0
2.571,0.129,0
2.850,0.784,-5
2.321,0.131,0
2.659,0.162,0
2.406,0.081,0
2.046,0.197,0
2.552,0.237,-5
2.796,0.091,0
1.682,0.083,0
1.471,0.062,0
2.384,0.105,-5
2.547,0.111,-5
2.641,0.076,0
2.431,0.114,0
2.055,0.063,0
2.421,0.146,0
2.140,0.066,0
2.917,0.094,-5
2.581,0.102,-5
2.570,0.071,0
2.255,0.176,0
2.889,0.085,0
2.642,0.073,0
2.596,0.062,0
1.852,0.105,-5
2.352,0.179,-5
2.372,0.060,0
2.955,0.109,0
2.140,0.115,-5
2.193,0.066,0
2.563,0.066,0
2.880,0.129,0
2.377,0.099,0
2.329,0.101,-5
2.739,0.120,-5
2.756,0.112,0
2.367,0.065,0
2.184,0.080,0
2.374,0.068,0
2.547,0.129,0
2.734,0.195,-5
2.702,0.060,0
2.763,0.105,0
2.414,0.053,0
2.729,0.242,0
2.300,0.055,0
2.663,0.101,-5
