T, time, time_on_pso, time_on_solver, status
2.347,0.201,0.168,0.033,0
2.873,0.113,0.082,0.031,0
2.579,0.108,0.082,0.026,0
2.385,0.139,0.089,0.050,0
2.720,0.250,0.083,0.167,-5
2.146,0.115,0.084,0.031,0
2.404,0.272,0.082,0.190,-5
2.896,0.330,0.084,0.246,-5
2.641,0.117,0.080,0.037,0
2.517,0.128,0.080,0.048,0
2.145,0.122,0.080,0.042,0
2.699,0.136,0.084,0.052,0
2.527,0.135,0.084,0.051,0
2.121,0.279,0.086,0.193,-5
2.326,0.114,0.082,0.032,0
2.837,0.108,0.079,0.029,0
2.174,0.108,0.079,0.029,0
2.088,0.109,0.080,0.029,0
2.738,0.385,0.080,0.305,0
2.611,0.106,0.080,0.026,0
2.623,0.115,0.079,0.036,0
2.759,0.182,0.081,0.101,0
2.396,0.111,0.079,0.032,0
2.721,0.141,0.079,0.062,0
2.486,0.102,0.079,0.023,0
2.436,0.102,0.079,0.023,0
2.707,0.109,0.079,0.030,0
2.615,0.105,0.079,0.026,0
2.443,0.105,0.079,0.026,0
2.761,0.120,0.079,0.041,0
2.338,0.105,0.079,0.026,0
2.971,0.148,0.079,0.069,-5
3.036,0.143,0.080,0.063,0
2.863,0.271,0.090,0.181,-5
2.599,0.160,0.086,0.074,0
2.856,0.150,0.097,0.053,0
2.705,0.141,0.087,0.054,0
2.647,0.111,0.084,0.027,0
2.920,0.597,0.080,0.517,-5
2.736,0.129,0.087,0.042,0
2.922,0.123,0.085,0.038,0
2.215,0.117,0.085,0.032,0
2.797,0.333,0.086,0.247,0
2.651,0.114,0.081,0.033,0
2.537,0.107,0.081,0.026,0
2.947,0.172,0.080,0.092,-5
2.665,0.207,0.081,0.126,0
2.225,0.126,0.081,0.045,0
2.347,0.113,0.083,0.030,0
2.393,0.180,0.085,0.095,0
2.849,0.139,0.085,0.054,0
2.090,0.126,0.081,0.045,0
2.233,0.285,0.080,0.205,-5
2.383,0.127,0.079,0.048,0
1.711,0.138,0.082,0.056,0
2.587,0.139,0.089,0.050,0
2.571,0.128,0.085,0.043,0
2.850,0.111,0.080,0.031,0
2.321,0.110,0.082,0.028,0
2.659,0.114,0.080,0.034,0
2.406,0.114,0.082,0.032,0
2.046,0.107,0.079,0.028,0
2.552,0.142,0.081,0.061,-5
2.796,0.139,0.083,0.056,0
1.682,0.130,0.085,0.045,0
1.471,0.128,0.086,0.042,0
2.384,0.121,0.087,0.034,0
2.547,0.148,0.090,0.058,0
2.641,0.131,0.089,0.042,0
2.431,0.160,0.087,0.073,0
2.055,0.108,0.082,0.026,0
2.421,0.139,0.082,0.057,0
2.140,0.135,0.088,0.047,0
2.917,0.807,0.091,0.716,-5
2.581,0.143,0.083,0.060,0
2.570,0.198,0.096,0.102,0
2.255,0.245,0.087,0.158,0
2.889,0.126,0.085,0.041,0
2.642,0.113,0.082,0.031,0
2.596,0.105,0.081,0.024,0
1.852,0.218,0.080,0.138,-5
2.352,0.249,0.081,0.168,-5
2.372,0.099,0.081,0.018,0
2.955,0.371,0.081,0.290,-5
2.140,0.114,0.083,0.031,0
2.193,0.116,0.083,0.033,0
2.563,0.109,0.085,0.024,0
2.880,0.109,0.084,0.025,0
2.377,0.118,0.085,0.033,0
2.329,0.227,0.085,0.142,-5
2.739,0.222,0.085,0.137,-5
2.756,0.138,0.084,0.054,0
2.367,0.118,0.086,0.032,0
2.184,0.112,0.089,0.023,0
2.374,0.111,0.086,0.025,0
2.547,0.115,0.086,0.029,0
2.734,0.168,0.085,0.083,-5
2.702,0.125,0.085,0.040,0
2.763,0.120,0.085,0.035,0
2.414,0.130,0.085,0.045,0
2.729,0.112,0.083,0.029,0
2.300,0.107,0.082,0.025,0
2.663,0.203,0.082,0.121,-5
2.738,0.115,0.083,0.032,0
2.784,0.117,0.083,0.034,0
2.365,0.116,0.082,0.034,0
1.741,0.115,0.080,0.035,0
2.940,0.184,0.082,0.102,-5
2.650,0.253,0.084,0.169,0
1.748,0.115,0.089,0.026,0
2.690,0.201,0.082,0.119,-5
2.441,0.116,0.083,0.033,0
2.566,0.115,0.081,0.034,0
2.153,0.201,0.089,0.112,0
2.791,0.122,0.088,0.034,0
2.296,0.106,0.082,0.024,0
1.741,0.107,0.079,0.028,0
2.445,0.107,0.081,0.026,0
2.238,0.108,0.080,0.028,0
3.049,0.325,0.083,0.242,0
2.875,0.243,0.091,0.152,-5
1.702,0.117,0.084,0.033,0
2.408,0.099,0.082,0.017,0
2.559,0.612,0.079,0.533,-5
1.866,0.152,0.089,0.063,0
2.758,0.123,0.091,0.032,0
2.328,0.118,0.084,0.034,0
1.909,0.112,0.082,0.030,0
2.900,0.114,0.080,0.034,0
2.433,0.121,0.082,0.039,0
2.454,0.195,0.081,0.114,0
2.169,0.103,0.080,0.023,0
2.920,0.104,0.080,0.024,0
2.429,0.112,0.080,0.032,0
2.477,0.290,0.082,0.208,-5
2.334,0.104,0.081,0.023,0
2.147,0.112,0.082,0.030,0
2.173,0.152,0.082,0.070,-5
1.875,0.101,0.081,0.020,0
2.456,0.149,0.079,0.070,0
2.574,0.106,0.081,0.025,0
2.078,0.112,0.081,0.031,0
2.197,0.104,0.081,0.023,0
2.720,0.295,0.082,0.213,-5
2.534,0.107,0.081,0.026,0
2.036,0.114,0.083,0.031,0
1.636,0.121,0.084,0.037,0
1.287,0.118,0.086,0.032,0
2.567,0.109,0.084,0.025,0
2.766,0.222,0.085,0.137,0
2.735,0.107,0.083,0.024,0
2.449,0.121,0.082,0.039,0
2.878,0.234,0.084,0.150,-5
2.340,0.110,0.085,0.025,0
2.406,0.119,0.084,0.035,0
2.661,0.118,0.086,0.032,0
2.623,0.116,0.084,0.032,0
1.856,0.110,0.084,0.026,0
1.362,0.119,0.084,0.035,0
2.508,0.118,0.083,0.035,0
2.906,0.121,0.082,0.039,0
2.738,0.106,0.085,0.021,0
2.311,0.115,0.084,0.031,0
2.142,0.106,0.082,0.024,0
2.720,0.133,0.081,0.052,0
1.298,0.124,0.087,0.037,0
2.473,0.150,0.085,0.065,-5
2.067,0.116,0.083,0.033,0
2.600,0.110,0.082,0.028,0
2.138,0.127,0.082,0.045,0
2.459,0.114,0.083,0.031,0
2.495,0.115,0.084,0.031,0
2.873,0.128,0.084,0.044,0
2.130,0.117,0.084,0.033,0
2.339,0.112,0.084,0.028,0
2.619,0.110,0.085,0.025,0
2.196,0.115,0.084,0.031,0
2.348,0.117,0.083,0.034,0
2.293,0.112,0.083,0.029,0
2.116,0.118,0.084,0.034,0
2.917,0.288,0.084,0.204,0
2.544,0.129,0.084,0.045,0
2.972,0.120,0.084,0.036,0
2.621,0.118,0.086,0.032,0
2.280,0.102,0.082,0.020,0
2.029,0.127,0.081,0.046,0
2.664,0.106,0.082,0.024,0
2.797,0.124,0.079,0.045,-5
2.572,0.113,0.085,0.028,0
2.640,0.099,0.080,0.019,0
2.247,0.108,0.079,0.029,0
2.455,0.102,0.083,0.019,0
2.516,0.107,0.082,0.025,0
2.282,0.235,0.080,0.155,0
1.807,0.114,0.085,0.029,0
2.660,0.115,0.084,0.031,0
2.371,0.121,0.083,0.038,0
2.430,0.112,0.083,0.029,0
2.681,0.109,0.083,0.026,0
1.803,0.112,0.082,0.030,0
2.625,0.139,0.083,0.056,0
2.456,0.109,0.084,0.025,0
2.927,0.118,0.084,0.034,0
2.290,0.111,0.085,0.026,0
2.266,0.110,0.083,0.027,0
1.689,0.221,0.083,0.138,0
2.705,0.127,0.083,0.044,0
2.612,0.113,0.082,0.031,0
2.222,0.103,0.082,0.021,0
2.877,0.114,0.083,0.031,0
2.752,0.111,0.085,0.026,0
2.413,0.195,0.082,0.113,-5
2.560,0.196,0.083,0.113,-5
1.934,0.113,0.084,0.029,0
2.725,0.119,0.083,0.036,0
2.046,0.119,0.083,0.036,0
2.547,0.123,0.083,0.040,0
2.567,0.506,0.084,0.422,-5
2.679,0.106,0.084,0.022,0
3.033,0.259,0.084,0.175,-5
1.894,0.124,0.085,0.039,0
1.539,0.281,0.090,0.191,-5
2.465,0.111,0.083,0.028,0
1.213,0.110,0.082,0.028,0
1.490,0.118,0.083,0.035,0
2.606,0.102,0.082,0.020,0
2.666,0.107,0.083,0.024,0
2.903,0.235,0.082,0.153,-5
2.713,0.120,0.084,0.036,0
2.082,0.114,0.083,0.031,0
2.183,0.113,0.083,0.030,0
2.339,0.106,0.083,0.023,0
2.990,0.146,0.083,0.063,0
2.657,0.116,0.079,0.037,0
2.603,0.112,0.081,0.031,0
2.551,0.112,0.079,0.033,0
2.598,0.115,0.079,0.036,0
2.670,0.112,0.080,0.032,0
2.875,0.160,0.082,0.078,0
2.624,0.510,0.092,0.418,-5
2.481,0.130,0.089,0.041,0
2.190,0.106,0.082,0.024,0
2.437,0.110,0.081,0.029,0
2.524,0.160,0.081,0.079,-5
2.784,0.114,0.081,0.033,0
2.733,0.125,0.086,0.039,0
2.240,0.134,0.089,0.045,0
2.288,0.123,0.089,0.034,0
2.170,0.111,0.085,0.026,0
2.815,0.115,0.084,0.031,0
2.001,0.140,0.088,0.052,0
2.350,0.218,0.082,0.136,-5
2.894,0.201,0.082,0.119,0
2.655,0.117,0.083,0.034,0
2.375,0.137,0.081,0.056,0
2.841,0.168,0.085,0.083,-5
1.917,0.132,0.084,0.048,0
2.072,0.119,0.086,0.033,0
2.462,0.112,0.081,0.031,0
2.765,0.256,0.081,0.175,-5
2.755,0.101,0.082,0.019,0
2.628,0.138,0.080,0.058,0
2.604,0.198,0.080,0.118,-5
2.530,0.241,0.080,0.161,-5
2.623,0.104,0.080,0.024,0
2.333,0.109,0.080,0.029,0
3.023,0.116,0.081,0.035,0
2.000,0.161,0.086,0.075,0
2.578,0.146,0.089,0.057,0
2.030,0.129,0.087,0.042,0
2.580,0.139,0.092,0.047,0
1.887,0.132,0.090,0.042,0
