T, time, status
2.320,1.173,1
0.781,0.703,1
2.682,1.229,1
2.778,0.917,0
2.658,1.003,1
1.864,1.045,0
2.306,1.229,0
2.935,1.358,1
1.686,2.083,1
2.618,10.086,-4
2.604,5.034,-2
2.400,1.184,1
2.728,1.177,1
2.963,1.337,0
2.329,1.129,1
2.738,13.617,-2
2.549,3.963,-2
2.499,1.036,0
2.840,9.162,-2
2.428,1.084,0
2.779,23.939,-3
2.635,0.933,1
2.339,1.328,1
2.789,0.983,0
2.771,3.481,-2
2.999,2.796,0
2.584,5.770,-2
2.763,1.584,0
2.349,1.318,1
2.696,0.889,0
2.599,8.571,-4
2.550,0.943,1
2.312,1.392,1
2.417,6.171,-2
2.274,1.243,0
2.591,1.185,1
2.140,1.402,0
2.375,0.954,1
2.567,7.374,-2
1.292,1.219,1
2.653,1.519,1
2.769,0.928,0
2.362,1.596,0
2.615,3.770,-2
2.907,1.598,1
2.708,1.359,1
2.562,1.153,0
2.640,3.631,-2
2.872,7.896,-4
2.765,8.254,-2
1.837,2.966,1
2.719,12.952,1
2.396,8.678,-2
1.699,0.969,1
2.118,1.463,0
2.757,3.710,-2
2.393,6.394,-2
2.454,0.811,0
2.011,22.610,-3
2.784,16.750,-2
2.095,1.545,0
1.527,1.805,1
2.400,1.067,1
2.565,3.899,-2
2.749,1.846,1
2.995,6.105,-2
2.918,0.946,0
2.762,1.463,0
2.388,21.066,-3
2.658,5.138,-2
2.422,11.484,-2
1.421,1.716,0
2.924,4.462,-2
3.046,1.207,1
2.829,1.312,1
2.781,12.123,-2
2.224,1.360,0
2.608,5.046,-2
2.712,1.681,1
2.374,1.232,1
2.677,8.658,-2
2.969,11.715,-2
2.496,1.448,0
2.252,0.977,1
2.826,0.883,0
2.469,1.157,1
2.600,3.010,0
2.049,1.788,1
2.438,0.966,0
1.969,1.240,0
2.968,22.788,-2
1.834,0.956,0
2.456,5.273,-2
2.634,4.550,-2
2.239,0.842,0
2.576,0.858,0
2.215,2.609,0
2.622,5.650,-2
2.278,1.099,1
2.257,6.724,-2
2.784,0.958,0
2.608,4.842,-2
2.660,1.371,1
2.523,3.732,-2
2.814,6.456,-2
3.006,4.403,-2
2.075,3.066,-4
2.846,11.018,-2
2.055,1.925,1
1.791,1.287,1
2.773,1.391,0
2.585,1.276,1
2.257,0.923,1
2.536,1.454,1
2.647,2.949,-2
2.624,5.824,-2
1.321,19.271,-3
2.159,1.108,0
1.635,1.243,1
2.802,7.723,-2
1.585,1.384,1
2.299,0.983,0
2.897,1.255,1
2.625,4.582,-2
2.417,3.835,-2
2.358,9.903,-2
2.967,2.278,0
2.696,0.967,0
2.643,2.134,1
2.521,1.284,1
2.726,0.927,1
1.549,1.288,1
2.800,12.208,-2
2.358,0.853,0
2.553,7.374,-2
2.377,1.681,1
2.807,1.400,1
2.356,1.915,1
2.936,6.967,-2
2.312,1.262,1
1.496,1.183,0
2.291,0.999,1
2.569,0.973,1
2.347,1.350,1
1.302,1.501,1
2.643,0.776,0
2.996,3.205,0
2.852,17.791,-3
2.045,1.208,0
2.494,2.919,-2
2.956,1.292,1
2.333,1.301,1
2.469,9.410,-4
2.131,1.241,1
2.857,1.088,1
2.816,2.104,1
1.434,1.439,1
2.373,4.670,-2
2.413,1.067,1
2.772,0.916,0
2.780,1.708,0
3.069,1.178,1
2.137,1.178,1
2.510,2.524,1
2.701,1.095,1
1.945,2.647,1
2.519,12.971,-2
2.822,3.667,0
2.799,11.282,-2
2.311,1.777,1
1.269,3.137,-4
2.834,0.950,0
2.892,6.575,-2
1.791,2.121,1
2.983,1.130,0
2.833,10.267,-2
2.672,2.021,0
2.176,1.724,1
2.775,3.912,-2
2.603,5.511,-4
2.166,1.360,1
2.482,1.012,1
2.643,1.453,1
2.875,9.917,-2
2.330,1.346,1
2.919,4.722,-2
2.559,9.522,-2
2.949,11.796,-2
2.928,1.130,1
2.732,1.151,0
2.295,1.127,1
2.554,1.682,1
2.161,1.257,1
2.825,2.108,1
2.816,5.013,-2
2.502,3.276,0
2.524,10.394,-2
2.838,0.995,1
2.662,1.456,1
1.546,2.120,1
1.996,1.148,1
2.265,1.477,1
2.565,16.866,-3
2.186,2.084,1
2.326,4.673,-2
3.025,3.118,-2
2.514,1.179,1
2.516,1.603,0
2.716,3.784,-2
2.812,0.990,1
2.087,6.188,-4
2.527,0.941,1
2.356,1.048,1
2.710,19.809,-2
2.055,1.615,1
2.775,1.393,0
1.298,1.563,1
2.780,7.935,-2
1.938,1.936,1
2.292,0.790,0
2.437,1.271,1
2.775,0.984,0
2.487,0.858,0
2.617,6.527,-2
2.985,1.209,1
2.748,1.199,1
2.648,4.354,-4
2.766,15.023,-2
2.418,1.583,0
2.426,1.174,1
2.334,1.450,1
2.212,0.801,0
1.980,10.255,-4
2.652,31.444,-3
2.384,1.316,0
2.511,1.565,1
1.986,1.334,1
2.619,0.999,1
2.557,5.347,-2
2.696,0.752,0
2.953,2.817,0
2.290,1.238,1
2.246,3.366,-2
2.755,1.453,1
2.320,1.048,1
2.811,1.112,1
2.618,1.201,1
2.708,5.537,-2
2.491,6.493,-2
2.791,1.428,1
2.630,1.111,1
2.291,1.651,1
2.532,1.551,1
2.736,1.318,1
1.968,17.931,0
2.679,1.462,1
2.775,21.811,-3
3.155,3.072,1
1.480,1.046,1
2.275,1.345,1
2.842,1.042,1
1.540,1.663,0
2.257,1.525,1
1.886,1.233,1
2.291,1.278,1
2.588,0.972,0
2.874,1.211,0
2.485,3.839,-2
3.059,1.601,1
1.749,1.956,-2
2.389,1.452,1
2.871,17.413,-3
2.585,1.155,0
2.101,1.290,0
2.805,13.885,-4
2.938,14.461,-4
2.328,1.247,0
2.537,1.333,1
2.913,1.138,1
3.008,7.013,-2
2.899,2.136,1
2.216,1.482,0
2.840,1.185,0
2.261,0.886,1
2.560,1.209,0
2.901,4.587,-2
2.606,6.385,-2
2.833,22.410,-4
2.651,1.062,1
2.219,0.974,1
2.452,1.238,1
1.823,3.950,-2
2.421,1.303,1
2.962,9.388,-2
2.175,1.832,1
2.501,1.160,0
2.785,9.585,-2
2.515,1.136,1
1.891,2.091,1
2.281,1.436,1
2.955,7.333,-2
2.686,0.860,1
2.163,1.229,1
3.002,1.818,1
2.822,2.423,1
2.478,4.789,1
1.775,1.718,1
2.108,1.716,1
1.838,2.622,1
1.590,1.166,1
2.094,1.352,0
2.758,8.920,-2
3.026,1.986,1
2.430,1.913,0
2.350,6.837,-2
2.496,2.351,-2
2.000,1.340,0
1.870,3.220,1
1.748,1.445,1
2.760,2.131,1
2.479,1.038,0
2.807,15.767,-2
2.223,0.750,0
2.178,1.683,1
2.724,4.915,-2
2.352,1.678,1
2.710,0.951,0
2.520,1.177,1
2.903,9.171,-2
2.325,0.962,1
2.933,19.887,-3
2.942,8.418,-2
2.670,8.357,-2
2.070,4.193,-2
2.177,7.058,-4
2.561,1.315,1
2.389,1.004,1
2.830,2.180,1
2.611,5.223,-4
2.369,2.814,1
2.574,4.245,-2
2.964,1.534,1
2.700,1.266,1
2.059,0.957,1
2.810,1.316,1
2.712,1.409,1
2.058,1.304,0
2.554,0.917,0
2.806,21.695,-3
2.842,1.776,1
2.791,1.566,1
