T, time, time_on_pso, time_on_solver, status
2.320,0.139,0.102,0.037,0
0.781,0.109,0.068,0.041,0
2.682,0.105,0.068,0.037,0
6.949,0.434,0.068,0.366,-5
2.659,0.104,0.070,0.034,0
1.864,0.095,0.070,0.025,0
2.306,0.097,0.069,0.028,0
2.935,0.109,0.068,0.041,0
1.687,0.105,0.069,0.036,0
2.601,0.183,0.069,0.114,0
2.586,0.107,0.069,0.038,0
2.401,0.268,0.069,0.199,-5
2.729,0.106,0.069,0.037,0
2.963,0.134,0.069,0.065,-5
2.329,0.114,0.069,0.045,0
2.718,0.151,0.069,0.082,-5
2.538,0.101,0.069,0.032,0
2.500,0.097,0.068,0.029,0
2.816,0.108,0.068,0.040,0
2.429,0.093,0.068,0.025,0
2.779,0.108,0.068,0.040,0
2.635,0.099,0.069,0.030,0
2.339,0.106,0.068,0.038,0
2.790,0.098,0.069,0.029,0
2.743,0.129,0.068,0.061,-5
2.999,0.597,0.068,0.529,-5
2.571,0.141,0.070,0.071,-5
2.763,0.097,0.068,0.029,0
2.350,0.111,0.069,0.042,0
2.696,0.097,0.069,0.028,0
2.587,0.153,0.068,0.085,-5
2.551,0.107,0.069,0.038,0
2.312,0.103,0.069,0.034,0
2.404,0.116,0.069,0.047,0
2.274,0.103,0.069,0.034,0
2.591,0.361,0.069,0.292,0
2.141,0.095,0.069,0.026,0
2.376,0.100,0.068,0.032,0
2.553,0.280,0.068,0.212,0
1.292,0.101,0.068,0.033,0
2.654,0.106,0.068,0.038,0
2.769,0.098,0.069,0.029,0
2.362,0.100,0.068,0.032,0
2.601,0.100,0.068,0.032,0
2.908,0.154,0.067,0.087,0
2.708,0.104,0.068,0.036,0
2.563,0.099,0.068,0.031,0
2.625,0.119,0.068,0.051,0
2.852,0.758,0.104,0.654,-5
2.752,0.210,0.068,0.142,0
1.836,0.099,0.069,0.030,0
2.720,0.209,0.069,0.140,-5
2.381,0.318,0.069,0.249,-5
1.699,0.103,0.069,0.034,0
2.118,0.096,0.068,0.028,0
2.740,0.095,0.068,0.027,0
2.371,0.133,0.069,0.064,-5
2.455,0.093,0.068,0.025,0
2.000,0.116,0.068,0.048,0
2.762,0.152,0.069,0.083,-5
2.095,0.235,0.069,0.166,0
1.527,0.107,0.069,0.038,0
2.400,0.101,0.069,0.032,0
2.554,0.169,0.068,0.101,-5
4.889,0.129,0.069,0.060,-5
2.976,0.103,0.068,0.035,0
2.919,0.101,0.068,0.033,0
2.763,0.108,0.068,0.040,0
2.388,0.112,0.068,0.044,-5
2.642,0.189,0.068,0.121,0
2.407,0.199,0.069,0.130,-5
1.421,0.097,0.068,0.029,0
2.907,0.206,0.068,0.138,-5
3.047,0.595,0.069,0.526,-5
2.830,0.099,0.069,0.030,0
2.761,0.149,0.068,0.081,-5
2.225,0.109,0.069,0.040,0
2.595,0.101,0.068,0.033,0
2.712,0.106,0.068,0.038,0
2.374,0.103,0.068,0.035,0
2.664,0.173,0.068,0.105,-5
2.951,0.107,0.069,0.038,0
2.497,0.097,0.068,0.029,0
2.252,0.100,0.068,0.032,0
2.826,0.091,0.068,0.023,0
2.470,0.109,0.068,0.041,0
2.601,0.106,0.068,0.038,0
2.049,0.103,0.068,0.035,0
2.439,0.099,0.068,0.031,0
1.970,0.096,0.068,0.028,0
2.950,0.125,0.068,0.057,-5
1.835,0.092,0.068,0.024,0
2.442,0.141,0.068,0.073,-5
2.621,0.103,0.068,0.035,0
2.239,0.094,0.068,0.026,0
2.577,0.089,0.067,0.022,0
2.215,0.096,0.068,0.028,0
2.609,0.201,0.068,0.133,-5
2.278,0.103,0.069,0.034,0
2.242,0.093,0.068,0.025,0
2.785,0.106,0.068,0.038,0
2.592,0.167,0.069,0.098,0
2.661,0.100,0.069,0.031,0
2.506,0.288,0.069,0.219,-5
2.799,0.165,0.068,0.097,-5
2.984,0.463,0.070,0.393,-5
2.066,0.265,0.069,0.196,-5
2.833,0.521,0.069,0.452,-5
