particles,iterations,w,c1,c2,min_w,min_c1,min_c2
640,110,4.8,7.4,6.2,2.5,0.7,4.3
640,120,5.8,2.1,4.9,2.3,0.3,4.1
640,320,4.4,1.0,9.1,3.0,0.3,2.8
640,290,1.5,0.4,4.0,1.2,0.3,2.1
640,140,3.2,9.9,7.2,0.4,8.3,3.6
640,130,5.8,1.2,9.4,5.4,0.8,4.3
640,20,6.7,8.1,8.1,4.8,0.1,7.8
640,200,1.8,6.2,1.2,1.1,3.0,0.9
640,160,2.7,9.5,6.0,1.0,1.8,0.9
640,220,6.4,3.3,4.8,1.1,3.2,0.0
640,280,5.2,6.4,4.1,0.1,3.7,1.9
640,180,7.0,0.4,0.6,0.8,0.2,0.1
640,10,9.9,0.1,5.2,9.1,0.0,4.3
640,130,9.3,9.5,6.7,3.6,7.2,3.9
640,240,6.0,5.5,7.8,4.2,3.5,3.4
640,350,3.0,7.8,2.8,0.7,0.0,1.8
640,310,1.1,6.8,8.5,1.1,2.7,5.8
640,340,3.2,5.2,3.9,1.1,2.7,3.5
640,380,9.6,8.2,2.4,5.1,7.4,2.2
640,110,6.2,5.6,9.3,2.3,3.5,8.5
640,20,0.2,3.8,0.4,0.1,0.7,0.2
640,120,3.9,1.5,1.6,0.6,0.3,0.9
640,150,2.1,6.9,5.1,1.4,5.6,2.8
640,100,8.5,2.9,4.3,4.4,2.3,3.4
640,220,7.4,5.6,8.7,1.4,1.9,5.7
640,10,4.1,3.1,3.1,2.8,2.4,0.4
640,120,7.6,0.5,2.6,6.5,0.1,2.3
640,80,7.9,6.6,2.5,4.5,2.0,1.6
640,370,8.2,1.4,9.8,6.6,0.9,2.4
640,190,3.9,1.6,1.7,1.1,1.1,1.1
640,50,9.6,8.4,7.4,7.5,5.0,6.5
640,340,8.6,4.8,6.9,5.4,2.6,3.9
640,340,6.6,4.9,7.0,5.9,3.0,0.7
640,350,1.9,9.4,5.7,0.1,0.4,0.5
640,360,6.4,8.5,6.4,4.7,6.5,0.9
640,380,6.9,7.2,6.6,6.6,6.4,2.4
640,200,4.4,5.1,7.1,1.5,2.1,3.1
640,190,5.7,8.4,8.8,3.7,4.6,8.2
640,100,6.3,3.6,2.0,4.6,0.5,1.2
640,230,2.4,3.8,1.3,1.4,3.7,1.3
640,40,5.3,4.2,2.9,1.2,2.4,1.1
640,300,6.0,6.1,8.4,2.9,1.0,0.6
640,290,7.6,4.3,7.2,4.4,2.8,5.8
640,80,8.3,8.7,1.9,6.4,0.6,0.3
640,110,6.8,4.0,0.5,1.5,0.3,0.4
640,300,0.4,5.9,8.8,0.1,0.1,6.6
640,160,2.9,7.0,1.0,0.3,1.6,0.0
640,290,9.8,0.3,4.0,6.0,0.3,0.4
640,250,3.1,6.7,8.2,0.0,0.2,1.4
640,130,4.9,6.4,2.6,0.3,2.9,0.7
