particles,iterations,w,c1,c2,min_w,min_c1,min_c2,alpha,saturation
3840,300,3.6,3.2,3.9,1.6,0.3,3.7,6.7,0.68
3840,50,4.5,5.3,6.6,0.2,1.6,3.1,4.9,0.86
3840,200,5.3,0.7,0.5,0.3,0.5,0.1,5.7,0.69
3840,150,8.7,9.1,0.6,7.1,2.9,0.3,2.6,0.79
3840,50,6.9,2.0,0.8,5.8,0.4,0.3,4.1,0.68
3840,150,9.8,9.8,4.7,4.2,2.3,2.6,3.5,0.83
3840,250,1.9,2.8,1.3,0.6,0.2,0.9,2.6,0.87
3840,300,8.1,7.5,6.8,8.1,6.9,6.6,3.4,0.84
3840,50,0.4,7.0,2.1,0.2,1.4,0.4,1.0,0.66
3840,250,1.8,2.3,2.6,1.3,0.8,0.0,0.7,0.52
3840,250,9.2,0.5,7.6,7.1,0.1,4.8,9.1,0.61
3840,300,7.6,1.5,1.4,3.6,1.4,1.2,10.0,0.53
3840,200,0.2,7.9,1.1,0.1,0.4,0.3,2.1,0.64
3840,150,6.2,9.5,3.4,5.3,9.0,1.2,8.0,0.81
3840,300,4.0,3.8,3.8,1.9,1.1,0.3,8.9,0.51
3840,200,4.7,1.5,4.9,0.8,0.7,1.5,6.3,0.75
3840,200,4.3,4.9,8.4,2.4,1.3,3.5,5.2,0.65
3840,250,6.7,2.1,9.3,3.7,0.3,5.3,6.6,0.82
3840,200,3.8,4.8,9.3,0.9,2.5,2.4,7.2,0.91
3840,150,4.9,4.6,5.1,4.3,2.1,0.2,3.0,0.90
3840,100,2.1,6.7,1.5,0.8,5.6,1.4,6.5,0.59
3840,250,6.3,5.2,2.8,1.5,0.4,1.9,8.3,0.59
3840,150,7.5,0.1,8.9,0.9,0.0,7.0,2.8,0.70
3840,300,9.9,6.6,1.8,5.9,3.5,0.7,1.9,0.58
3840,300,9.2,1.8,8.1,6.8,1.4,7.8,1.1,0.76
3840,100,2.5,7.9,9.5,1.0,3.2,5.1,6.3,0.78
3840,250,5.2,1.4,9.1,0.3,1.2,5.8,7.8,1.00
3840,300,5.0,7.7,1.3,4.5,2.2,1.0,5.6,0.76
3840,250,6.5,6.4,6.5,3.3,1.0,4.9,4.8,0.61
3840,150,7.2,8.1,7.5,2.3,8.0,0.9,6.9,0.81
3840,300,9.3,4.1,9.5,7.3,1.3,1.7,7.1,0.91
3840,50,5.8,3.6,3.0,2.4,2.6,2.6,0.3,0.51
3840,100,3.5,1.3,7.3,2.2,1.2,6.8,4.5,0.97
3840,250,0.3,8.6,6.0,0.3,6.4,1.4,5.0,0.98
3840,150,2.1,5.1,9.9,2.1,1.8,2.2,3.3,0.93
3840,200,1.4,8.8,8.5,0.3,4.2,3.7,4.6,0.62
3840,100,2.2,8.5,3.1,0.2,5.6,0.4,8.1,0.76
3840,150,0.8,3.3,2.6,0.0,2.6,2.4,1.8,0.81
3840,150,7.4,3.7,1.5,4.7,3.4,0.5,2.9,0.62
3840,300,1.1,0.7,5.8,0.0,0.3,4.2,7.7,0.88
3840,300,3.3,2.8,7.7,0.3,1.4,6.5,1.8,0.83
3840,200,6.0,4.4,2.0,2.1,4.3,0.7,3.2,0.75
3840,250,7.8,8.0,5.3,6.3,7.0,3.1,6.1,0.79
3840,100,4.8,0.9,2.2,1.3,0.8,0.0,4.3,0.66
3840,300,9.9,0.6,5.7,0.8,0.5,2.8,8.2,0.96
3840,300,4.9,4.1,7.8,2.8,1.4,1.6,9.1,0.95
3840,150,4.1,4.5,4.5,0.5,3.2,1.2,8.8,0.82
3840,100,0.6,9.8,7.2,0.6,2.6,4.0,5.4,0.68
3840,150,0.7,7.2,3.0,0.2,6.0,0.4,0.4,0.69
3840,200,1.1,0.5,6.7,0.6,0.4,6.2,9.7,0.70
