q0_i,q1_i,q2_i,q3_i,wx_i,wy_i,wz_i,q0_f,q1_f,q2_f,q3_f,wx_f,wy_f,wz_f,phi_i,theta_i,psi_i,phi_f,theta_f,psi_f
0.346121,-0.504168,0.060132,0.788923,0.000000,0.000000,0.000000,-0.140710,-0.767823,0.531875,-0.328263,0.000000,0.000000,0.000000,152.317375,123.162290,-62.565193,-169.868382,-40.826950,-73.200222
0.903881,0.232487,-0.066453,0.352893,0.000000,0.000000,0.000000,-0.102426,0.746883,0.454843,0.474123,0.000000,0.000000,0.000000,22.919691,-16.512092,39.283552,-27.729157,-126.735637,-103.206808
0.701401,-0.511814,0.433052,0.241968,0.000000,0.000000,0.000000,-0.522514,-0.851108,0.046770,0.020166,0.000000,0.000000,0.000000,-78.761160,58.778696,-11.557414,-63.051332,-179.166352,174.220658
0.665250,0.619056,0.076747,-0.410271,0.000000,0.000000,0.000000,0.076656,0.768629,-0.629176,-0.086434,0.000000,0.000000,0.000000,73.747165,37.594837,-34.680439,166.893882,2.086639,-78.845194
0.147571,0.486446,0.326544,-0.796845,0.000000,0.000000,0.000000,0.706985,0.058946,0.704406,-0.022569,0.000000,0.000000,0.000000,129.755699,119.352401,-9.690497,89.249694,87.044670,82.638825
0.195616,0.547320,-0.673161,0.457198,0.000000,0.000000,0.000000,0.861654,-0.475401,-0.162988,0.070581,0.000000,0.000000,0.000000,-141.542668,-49.802951,-120.168403,120.435420,-167.656669,-163.551867
0.382640,-0.012029,0.686118,0.618615,0.000000,0.000000,0.000000,0.795057,0.196625,0.263714,0.509586,0.000000,0.000000,0.000000,-93.964644,147.319364,-32.877336,36.575667,12.646846,69.509813
0.518284,0.474572,-0.466892,0.536819,0.000000,0.000000,0.000000,0.178583,-0.738582,-0.649810,-0.018758,0.000000,0.000000,0.000000,-4.704007,-83.455776,96.208491,-165.644842,-15.058141,80.776040
0.867894,0.490438,0.078659,0.006617,0.000000,0.000000,0.000000,-0.053848,0.673696,-0.053156,0.735125,0.000000,0.000000,0.000000,59.275876,7.472213,5.129053,-60.112429,-79.989712,-119.831355
0.562619,-0.758598,-0.038251,0.326382,0.000000,0.000000,0.000000,0.629399,-0.456549,-0.540886,-0.320723,0.000000,0.000000,0.000000,-99.933756,26.881405,28.477537,-90.500176,-76.834644,23.318056
0.865244,-0.035534,0.483995,-0.125853,0.000000,0.000000,0.000000,0.595421,0.252716,0.723986,-0.239694,0.000000,0.000000,0.000000,-19.113813,55.955529,-26.773157,14.682173,100.485319,-26.249570
0.092779,0.409610,-0.833087,-0.359970,0.000000,0.000000,0.000000,-0.746474,0.127604,-0.604618,-0.246840,0.000000,0.000000,0.000000,136.958296,8.065670,-130.820360,-155.441859,105.058828,-124.461318
0.359708,-0.636178,-0.451123,-0.512226,0.000000,0.000000,0.000000,-0.357454,-0.581012,-0.059450,-0.728778,0.000000,0.000000,0.000000,-1.184808,-102.504484,-108.367194,57.666157,-53.548152,96.698355
0.561371,0.728931,-0.151686,-0.361267,0.000000,0.000000,0.000000,-0.240487,0.726277,-0.279215,-0.580282,0.000000,0.000000,0.000000,96.680722,20.877665,-42.127871,6.834084,102.262299,143.452346
0.791102,-0.587375,0.017995,0.169779,0.000000,0.000000,0.000000,0.578257,0.333151,-0.630835,0.395825,0.000000,0.000000,0.000000,-71.476388,13.174667,14.724733,81.092747,-96.632437,-18.920231
0.597561,0.735058,-0.121498,0.296394,0.000000,0.000000,0.000000,0.257839,-0.458654,-0.575894,0.625701,0.000000,0.000000,0.000000,97.777090,-35.516537,12.459655,84.982639,163.919688,-62.323126
