avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.165,0.054,0.111,69,1000
0.203,0.087,0.115,86,977
0.143,0.047,0.096,46,1000
0.145,0.073,0.072,30,1000
0.262,0.082,0.180,101,457
0.129,0.056,0.073,29,1000
0.203,0.070,0.133,54,977
0.159,0.069,0.090,41,1000
0.161,0.088,0.073,16,1000
0.358,0.101,0.257,101,299
0.325,0.068,0.257,101,232
0.220,0.065,0.155,83,871
0.130,0.058,0.071,35,1000
0.237,0.027,0.210,101,384
0.159,0.066,0.093,41,1000
0.127,0.050,0.077,8,1000
0.196,0.068,0.128,101,828
0.177,0.070,0.107,41,1000
0.252,0.067,0.185,101,420
0.193,0.084,0.109,45,1000
0.117,0.044,0.072,7,1000
0.175,0.084,0.091,31,1000
0.112,0.023,0.088,32,1000
0.219,0.073,0.147,75,868
0.167,0.048,0.119,41,1000
0.185,0.098,0.087,37,1000
0.158,0.071,0.087,25,1000
0.233,0.077,0.156,73,790
0.127,0.056,0.071,20,1000
0.218,0.081,0.137,44,870
0.149,0.061,0.088,16,1000
0.153,0.026,0.127,77,1000
0.207,0.047,0.160,101,829
0.130,0.062,0.068,30,1000
0.192,0.100,0.092,19,1000
0.146,0.026,0.120,77,1000
0.110,0.035,0.075,38,1000
0.122,0.031,0.091,33,1000
0.132,0.035,0.097,101,959
0.167,0.036,0.131,74,1000
0.132,0.036,0.096,101,947
0.263,0.092,0.171,101,435
0.288,0.066,0.222,101,385
0.090,0.017,0.073,15,1000
0.175,0.047,0.128,66,1000
0.199,0.025,0.174,101,558
0.122,0.044,0.078,3,1000
0.374,0.020,0.354,101,145
0.129,0.059,0.070,3,1000
0.278,0.051,0.227,101,329
