avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.326,0.073,0.253,101,195
0.123,0.056,0.067,82,1000
0.173,0.088,0.085,101,968
0.152,0.082,0.070,76,1000
0.156,0.082,0.074,83,1000
0.193,0.072,0.122,101,458
0.159,0.089,0.070,75,1000
0.138,0.067,0.071,78,1000
0.352,0.070,0.282,101,128
0.375,0.067,0.309,101,138
0.142,0.067,0.075,100,1000
0.501,0.049,0.452,101,101
0.432,0.057,0.375,101,114
0.196,0.082,0.114,101,575
0.110,0.038,0.072,79,1000
0.125,0.059,0.067,83,1000
0.106,0.037,0.069,81,1000
0.483,0.068,0.415,101,101
0.156,0.084,0.072,75,1000
0.272,0.044,0.228,101,192
0.119,0.052,0.068,80,1000
0.179,0.065,0.114,101,539
0.247,0.095,0.152,101,317
0.183,0.038,0.146,101,314
0.453,0.037,0.416,101,101
0.423,0.049,0.375,101,115
0.485,0.101,0.384,101,101
0.266,0.081,0.185,101,278
0.143,0.064,0.080,11,1000
0.167,0.097,0.070,78,1000
0.149,0.078,0.070,78,1000
0.283,0.097,0.186,101,408
0.170,0.086,0.084,101,811
0.320,0.068,0.253,101,180
0.433,0.048,0.385,101,101
0.114,0.048,0.067,71,1000
0.161,0.092,0.068,88,1000
0.502,0.088,0.414,101,101
0.504,0.088,0.416,101,102
0.361,0.084,0.277,101,177
0.463,0.060,0.403,101,101
0.524,0.093,0.431,101,103
0.494,0.068,0.426,101,101
0.298,0.077,0.221,101,200
0.346,0.055,0.291,101,150
0.244,0.082,0.162,101,360
0.454,0.048,0.407,101,104
0.488,0.079,0.409,101,101
0.124,0.056,0.068,70,1000
0.146,0.081,0.065,79,1000
