particles,iterations,w,c1,c2,min_w,min_c1,min_c2,alpha,saturation
1280,400,7.60,4.20,8.10,5.00,1.80,6.20,3.10,0.74
5120,100,3.00,3.00,2.10,1.70,0.80,1.10,8.00,0.78
5120,200,9.60,1.60,7.50,3.80,1.50,7.10,4.60,0.58
5760,150,2.30,7.90,4.40,1.00,6.20,3.40,7.80,0.54
640,150,3.10,5.30,0.90,2.60,4.70,0.70,2.70,0.98
1920,50,0.10,4.60,8.10,0.10,4.20,2.70,2.90,0.63
1280,200,5.70,4.10,3.00,5.40,3.70,2.20,9.80,0.78
1280,350,7.10,0.90,1.70,7.00,0.30,0.60,0.30,0.83
2560,400,7.60,6.40,6.30,0.70,1.40,2.00,6.20,0.77
5760,350,5.40,5.80,9.90,3.30,3.30,0.20,1.50,0.94
6400,100,6.50,4.00,3.70,1.60,3.50,3.10,0.10,0.91
5760,350,3.40,6.50,7.10,1.90,1.90,6.50,5.20,0.65
5760,450,3.40,0.20,3.60,1.00,0.20,1.60,2.10,0.93
1920,400,2.20,0.30,9.70,1.10,0.20,8.90,1.80,0.61
5760,400,9.50,1.50,5.70,7.40,1.10,0.20,1.20,0.90
2560,450,7.00,9.70,1.70,6.20,1.00,0.60,7.20,0.73
3840,300,3.00,5.30,2.80,0.20,4.70,2.00,7.50,0.91
1920,250,8.00,2.10,7.80,1.50,1.00,1.10,3.00,0.80
2560,150,7.40,2.20,4.70,0.50,0.70,4.00,0.70,0.62
3840,450,0.60,9.50,5.40,0.50,3.10,4.80,0.80,0.52
1920,150,4.20,0.20,4.80,3.30,0.20,0.50,4.40,0.67
4480,400,1.70,7.20,6.30,1.70,1.40,5.50,7.40,0.94
1920,200,5.20,5.10,7.50,4.00,1.80,1.20,3.10,0.97
5760,450,3.80,7.20,10.00,1.90,3.90,5.60,7.70,0.98
3840,50,4.60,0.60,5.30,3.40,0.40,1.80,3.50,0.67
5760,400,3.30,6.20,5.20,0.80,1.40,1.60,1.20,0.79
1920,500,4.70,6.20,5.10,2.60,3.80,2.10,8.70,0.96
5760,100,5.80,8.60,0.30,3.20,6.10,0.30,5.00,0.59
3200,200,3.10,8.30,7.60,1.20,4.20,1.60,4.30,0.54
4480,300,8.60,5.80,0.30,4.20,3.70,0.10,5.90,0.98
1920,100,9.70,2.20,7.70,2.00,2.00,0.30,5.10,0.58
3840,200,6.00,2.60,6.00,3.50,2.50,4.10,6.00,0.70
2560,100,6.20,1.40,6.20,1.90,0.70,2.00,0.80,0.53
3200,300,3.60,0.90,4.40,1.40,0.50,2.40,7.40,0.94
5120,450,5.10,3.20,4.80,1.80,1.60,3.60,6.00,0.65
5120,250,7.90,1.60,0.50,1.90,1.50,0.50,2.00,0.50
1920,350,6.10,0.90,9.30,5.70,0.00,8.80,1.90,0.55
5120,150,4.20,7.10,2.00,1.20,4.70,1.00,8.60,0.79
5120,150,9.90,4.90,6.30,6.60,4.30,5.60,0.40,0.74
3840,350,1.60,6.40,1.50,1.40,2.50,1.00,6.10,0.89
5120,150,8.20,1.80,3.10,0.20,0.50,3.00,9.80,0.62
1280,300,8.20,0.20,9.10,4.60,0.00,0.20,4.00,0.88
4480,500,4.40,7.30,7.90,1.40,5.80,6.20,3.50,0.94
3840,350,6.30,6.60,1.30,4.50,2.40,0.00,9.50,0.89
3840,200,5.00,3.90,8.50,3.30,2.80,3.00,5.00,0.84
5760,400,0.70,8.40,7.60,0.10,1.10,2.50,2.30,0.84
3840,450,2.90,3.90,7.30,2.30,2.00,4.30,7.60,1.00
3200,100,4.70,8.10,6.90,2.60,0.90,6.50,0.30,0.65
2560,500,1.50,5.10,9.00,0.70,3.30,8.00,2.70,0.92
3840,400,8.80,2.20,6.10,7.70,0.30,6.00,8.40,0.99
640,350,1.70,2.10,9.10,0.80,1.50,4.90,1.00,0.74
640,250,2.20,5.90,5.60,0.60,3.00,3.70,8.40,0.92
5760,250,0.60,9.00,2.60,0.10,1.00,0.50,4.20,0.83
2560,200,2.30,6.00,7.90,0.80,5.70,3.70,5.30,0.97
1920,400,7.60,6.30,9.50,5.00,1.00,6.00,7.50,0.59
5120,450,8.70,6.80,7.00,4.70,3.20,1.70,1.20,0.95
3840,350,6.50,8.60,8.70,5.80,6.00,4.00,3.40,0.98
4480,450,9.70,3.00,7.00,4.30,1.60,5.70,1.30,0.70
1920,300,5.90,9.00,3.90,3.70,0.40,2.70,8.60,0.73
1280,150,3.30,7.30,1.30,3.20,0.30,0.80,3.50,0.62
5760,150,5.50,1.70,9.90,3.50,1.20,6.20,3.60,0.91
5760,300,3.70,2.70,4.70,2.90,2.50,4.20,6.30,0.84
2560,150,5.20,1.60,5.70,4.80,0.90,3.60,0.40,0.78
1920,450,9.80,5.90,7.20,8.00,0.30,6.60,7.50,0.96
3200,400,1.00,3.80,2.30,0.60,2.30,1.60,2.60,0.77
2560,100,1.90,0.90,7.60,0.60,0.70,7.10,1.30,0.70
2560,400,6.60,9.30,2.90,1.00,6.40,1.30,8.80,0.66
6400,350,1.60,6.50,8.90,1.30,0.90,3.80,6.30,0.97
4480,350,8.10,1.60,3.20,2.70,1.50,0.30,7.70,0.99
6400,250,2.90,0.30,9.10,2.70,0.10,7.40,8.40,0.53
3200,150,3.70,0.40,9.20,2.90,0.40,4.90,7.10,0.69
5760,400,3.50,3.70,8.40,2.30,0.80,2.80,8.50,0.73
4480,450,0.90,2.30,2.90,0.80,2.10,0.30,5.60,0.90
5760,450,3.80,9.80,6.80,1.10,8.20,3.00,0.70,0.60
4480,100,7.10,7.70,7.30,7.00,0.50,3.10,8.20,0.64
1280,250,5.30,2.70,6.40,1.80,0.90,0.30,3.80,0.75
1920,150,1.00,0.70,3.40,0.60,0.70,1.40,5.00,0.50
2560,300,7.10,6.20,0.30,3.00,2.50,0.10,5.20,0.88
1920,300,5.10,3.90,5.60,3.30,0.10,3.90,7.80,0.82
5120,250,7.30,5.40,5.70,2.30,3.80,2.00,5.60,0.95
2560,300,3.40,4.10,0.80,2.00,1.80,0.20,2.30,0.50
1920,500,5.70,2.60,6.30,2.00,0.90,2.80,7.00,0.88
3840,400,2.70,4.70,9.10,0.30,0.00,0.80,9.70,0.92
4480,150,1.30,8.30,6.50,0.40,5.70,1.10,0.30,0.99
3840,350,0.80,7.70,8.70,0.50,4.70,6.90,2.70,0.97
1280,200,8.10,6.30,4.10,4.20,5.30,0.50,8.20,0.57
5120,150,5.00,4.90,3.00,4.70,0.80,0.00,7.50,0.78
3840,400,0.80,6.60,6.30,0.30,1.40,4.20,6.10,0.61
5120,150,0.90,0.60,6.80,0.00,0.30,2.30,5.70,0.63
3840,400,6.30,9.70,7.30,1.50,7.90,4.60,3.60,0.61
4480,400,6.60,2.10,0.60,5.80,0.20,0.40,4.20,0.53
5120,400,2.80,2.10,1.20,1.90,1.10,0.10,7.00,0.62
5120,250,6.30,1.30,6.00,0.60,0.60,1.10,3.10,0.89
2560,50,0.80,8.50,7.80,0.30,7.90,0.00,4.00,0.79
4480,450,9.10,6.20,8.20,1.60,4.50,6.80,5.00,0.63
4480,450,1.20,6.30,7.20,0.10,3.20,2.30,3.30,0.81
3200,450,2.70,1.00,9.10,0.60,1.00,1.40,2.50,0.76
3840,150,4.80,5.70,6.10,1.40,1.20,5.70,9.70,0.71
6400,150,1.80,9.50,8.40,1.30,3.00,6.80,1.30,0.89
640,150,3.40,7.80,6.20,0.10,6.80,4.50,3.60,0.67
