avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.140,0.035,0.105,17
0.695,0.524,0.171,34
0.217,0.089,0.128,26
1.027,0.924,0.103,18
1.024,0.932,0.092,25
0.449,0.313,0.137,27
1.119,1.017,0.102,23
0.236,0.133,0.103,22
0.757,0.648,0.108,21
0.283,0.199,0.084,19
1.146,1.046,0.100,29
0.922,0.820,0.102,17
1.134,1.037,0.097,22
0.777,0.656,0.121,26
1.309,1.188,0.121,28
1.241,1.133,0.108,27
0.723,0.590,0.133,20
0.756,0.675,0.081,12
1.088,0.943,0.145,28
0.761,0.603,0.157,24
1.348,0.961,0.387,72
0.353,0.230,0.123,25
1.155,1.037,0.117,26
0.573,0.414,0.159,27
0.683,0.566,0.117,17
0.474,0.345,0.129,25
0.827,0.699,0.128,19
1.289,1.176,0.112,24
0.472,0.347,0.125,23
0.663,0.508,0.155,20
0.407,0.235,0.172,28
0.953,0.506,0.447,72
1.098,0.965,0.133,22
0.227,0.041,0.185,25
0.576,0.429,0.147,24
0.542,0.436,0.106,17
1.154,1.042,0.113,22
0.440,0.320,0.121,18
0.319,0.145,0.174,28
0.806,0.711,0.096,16
0.364,0.210,0.154,24
1.289,1.152,0.136,28
0.336,0.226,0.110,23
0.337,0.183,0.154,27
0.877,0.737,0.140,24
0.326,0.073,0.253,26
0.259,0.094,0.166,24
0.991,0.840,0.151,26
0.830,0.721,0.109,20
0.655,0.489,0.167,28
0.724,0.599,0.125,19
1.269,0.789,0.480,76
0.259,0.103,0.157,20
0.268,0.100,0.168,24
0.931,0.807,0.123,17
0.817,0.686,0.132,25
0.552,0.443,0.109,24
0.765,0.527,0.239,45
1.115,1.029,0.085,20
0.331,0.116,0.214,33
0.583,0.474,0.108,28
0.318,0.202,0.116,18
0.219,0.096,0.123,26
1.257,1.142,0.115,26
0.348,0.219,0.128,21
0.351,0.076,0.275,41
0.506,0.316,0.190,33
0.289,0.108,0.181,27
0.645,0.574,0.070,15
0.561,0.446,0.115,23
0.516,0.428,0.088,25
1.074,0.953,0.121,26
0.736,0.575,0.161,27
1.307,1.172,0.135,18
0.337,0.142,0.195,18
1.200,1.067,0.133,22
0.655,0.490,0.166,26
0.989,0.793,0.195,21
0.766,0.597,0.169,19
0.579,0.480,0.099,19
0.916,0.539,0.376,53
0.290,0.154,0.136,22
0.381,0.227,0.153,23
0.722,0.600,0.122,17
1.292,1.165,0.126,29
1.030,0.912,0.118,24
0.223,0.091,0.132,27
1.206,1.118,0.088,19
1.220,1.130,0.090,26
0.466,0.198,0.269,63
0.382,0.255,0.126,26
0.996,0.897,0.100,21
0.571,0.422,0.149,30
1.287,1.180,0.107,26
0.408,0.301,0.107,29
0.899,0.780,0.119,28
0.885,0.764,0.121,20
0.680,0.578,0.102,29
0.193,0.092,0.101,21
1.139,1.031,0.109,19
