avg_time, avg_time_on_pso, avg_time_on_solver, n_bad_status
0.294, 0.130, 0.164, 26
0.127, 0.040, 0.087, 29
0.163, 0.065, 0.098, 28
0.296, 0.066, 0.230, 61
0.259, 0.133, 0.126, 26
0.339, 0.130, 0.209, 31
0.251, 0.080, 0.171, 38
0.237, 0.116, 0.121, 30
0.177, 0.069, 0.108, 22
0.229, 0.118, 0.111, 23
0.199, 0.100, 0.100, 23
0.491, 0.047, 0.445, 100
0.219, 0.079, 0.140, 36
0.220, 0.093, 0.127, 36
0.262, 0.148, 0.114, 33
0.220, 0.147, 0.073, 19
0.462, 0.083, 0.379, 89
0.150, 0.061, 0.090, 24
0.198, 0.075, 0.123, 34
0.476, 0.056, 0.420, 99
0.182, 0.108, 0.074, 20
0.422, 0.033, 0.389, 100
0.191, 0.101, 0.090, 28
0.221, 0.043, 0.178, 56
0.247, 0.130, 0.117, 31
0.231, 0.123, 0.108, 23
0.212, 0.079, 0.133, 32
0.244, 0.119, 0.125, 26
0.395, 0.051, 0.344, 82
0.299, 0.161, 0.138, 35
0.145, 0.054, 0.091, 25
0.469, 0.022, 0.447, 99
0.253, 0.147, 0.106, 27
0.190, 0.083, 0.107, 26
0.151, 0.056, 0.094, 32
0.108, 0.035, 0.073, 34
0.461, 0.029, 0.432, 100
0.165, 0.080, 0.084, 26
0.392, 0.058, 0.335, 86
0.181, 0.089, 0.091, 25
0.237, 0.126, 0.111, 33
0.208, 0.102, 0.106, 27
0.250, 0.121, 0.129, 33
0.450, 0.039, 0.411, 100
0.519, 0.074, 0.445, 100
0.155, 0.045, 0.110, 27
0.167, 0.051, 0.116, 31
0.250, 0.133, 0.116, 38
0.211, 0.092, 0.119, 30
0.189, 0.069, 0.120, 32
0.247, 0.109, 0.138, 33
0.219, 0.110, 0.109, 25
0.411, 0.069, 0.342, 82
0.234, 0.094, 0.140, 27
0.460, 0.070, 0.390, 99
0.496, 0.073, 0.423, 100
0.193, 0.046, 0.147, 36
0.314, 0.080, 0.234, 65
0.156, 0.046, 0.110, 32
0.185, 0.092, 0.094, 31
0.172, 0.072, 0.100, 26
0.164, 0.083, 0.081, 23
0.199, 0.081, 0.118, 29
0.234, 0.127, 0.107, 32
0.234, 0.127, 0.107, 28
0.134, 0.026, 0.108, 31
0.132, 0.048, 0.083, 29
0.239, 0.137, 0.102, 29
0.166, 0.066, 0.100, 23
0.100, 0.016, 0.084, 26
0.158, 0.070, 0.088, 26
0.217, 0.101, 0.116, 33
0.216, 0.116, 0.100, 19
0.207, 0.081, 0.126, 32
0.202, 0.083, 0.119, 21
0.197, 0.049, 0.148, 36
0.257, 0.044, 0.213, 54
0.225, 0.075, 0.150, 33
0.280, 0.141, 0.139, 32
0.217, 0.114, 0.103, 30
0.183, 0.084, 0.098, 29
0.225, 0.085, 0.140, 31
0.239, 0.131, 0.108, 33
0.201, 0.099, 0.102, 27
0.188, 0.040, 0.148, 42
0.363, 0.051, 0.311, 97
0.244, 0.115, 0.129, 30
0.206, 0.106, 0.100, 24
0.184, 0.064, 0.120, 29
0.177, 0.073, 0.104, 27
0.198, 0.082, 0.116, 22
0.496, 0.097, 0.399, 100
0.228, 0.084, 0.144, 34
0.246, 0.134, 0.112, 26
0.232, 0.100, 0.132, 30
0.230, 0.126, 0.104, 24
0.250, 0.121, 0.129, 35
0.206, 0.057, 0.149, 40
0.218, 0.110, 0.107, 31
0.161, 0.068, 0.093, 25
