avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.212,0.109,0.103,25
0.215,0.116,0.098,22
0.168,0.086,0.082,28
0.209,0.115,0.093,21
0.248,0.098,0.149,37
0.193,0.084,0.109,22
0.113,0.026,0.086,28
0.320,0.043,0.277,69
0.217,0.090,0.127,29
0.473,0.073,0.400,100
0.209,0.055,0.154,29
0.130,0.055,0.075,22
0.407,0.022,0.385,100
0.219,0.133,0.086,22
0.176,0.083,0.094,26
0.233,0.134,0.099,30
0.411,0.068,0.343,86
0.152,0.061,0.090,25
0.486,0.074,0.412,100
0.170,0.076,0.094,26
0.227,0.103,0.123,35
0.297,0.046,0.251,65
0.195,0.063,0.131,29
0.168,0.063,0.105,20
0.246,0.051,0.195,56
0.195,0.121,0.074,27
0.225,0.088,0.137,36
0.183,0.086,0.096,30
0.175,0.044,0.131,30
0.265,0.114,0.151,33
0.276,0.134,0.142,25
0.201,0.083,0.117,37
0.253,0.112,0.141,28
0.153,0.069,0.084,23
0.197,0.105,0.092,25
0.462,0.053,0.409,99
0.326,0.027,0.299,72
0.523,0.081,0.443,100
0.459,0.057,0.402,95
0.165,0.054,0.111,25
0.324,0.123,0.201,44
0.244,0.128,0.116,27
0.230,0.131,0.099,25
0.565,0.065,0.500,93
0.229,0.104,0.124,25
0.301,0.123,0.178,34
0.221,0.103,0.118,28
0.257,0.131,0.126,27
0.256,0.133,0.124,26
0.548,0.070,0.478,100
0.162,0.065,0.097,24
0.278,0.123,0.155,31
0.210,0.123,0.087,21
0.440,0.069,0.371,71
0.225,0.129,0.097,27
0.272,0.145,0.127,31
0.212,0.093,0.120,32
0.238,0.110,0.128,28
0.517,0.022,0.495,100
0.355,0.079,0.275,59
0.347,0.056,0.291,70
0.257,0.103,0.154,29
0.230,0.100,0.130,33
0.250,0.121,0.128,31
0.147,0.072,0.076,23
0.254,0.093,0.160,31
0.409,0.031,0.378,100
0.241,0.133,0.108,29
0.507,0.065,0.442,95
0.245,0.045,0.200,47
0.206,0.054,0.151,37
0.132,0.053,0.079,27
0.531,0.034,0.498,100
0.254,0.105,0.149,37
0.527,0.083,0.445,100
0.510,0.071,0.439,97
0.216,0.104,0.113,20
0.129,0.035,0.095,25
0.202,0.107,0.095,20
0.258,0.110,0.147,31
0.201,0.085,0.116,31
0.217,0.058,0.159,34
0.159,0.041,0.117,33
0.223,0.096,0.127,29
0.177,0.073,0.104,27
0.250,0.106,0.144,30
0.539,0.101,0.438,100
0.262,0.121,0.141,31
0.219,0.105,0.114,30
0.150,0.046,0.105,28
0.231,0.112,0.119,26
0.237,0.137,0.100,27
0.165,0.058,0.107,25
0.200,0.044,0.155,35
0.218,0.084,0.133,28
0.151,0.072,0.079,28
0.276,0.145,0.130,28
0.242,0.139,0.103,20
0.232,0.138,0.095,21
0.191,0.090,0.101,29
